token;lemma;Code;match_type
Afghánistán;afghánistán;AFG;literal
Afgánistán;afgánistán;AFG;literal
Afghánská islámská republika;afghánský islámský republika;AFG;literal
Albánie;albánie;ALB;literal
Albánská republika;albánský republika;ALB;literal
Alžírská demokratická a lidová republika;alžírský demokratický a lidový republika;DZA;literal
Alžírsko;alžírsko;DZA;literal
Americká Samoa;americký samoa;ASM;literal
Americké Panenské ostrovy;americký panenský ostrov;VIR;literal
Andorra;andorra;AND;literal
Andorrské knížectví;andorrský knížectví;AND;literal
Anglie;anglie;GBR;literal
Angola;angola;AGO;literal
Angolská republika;angolský republika;AGO;literal
Anguilla;anguilla;AIA;literal
Antigua a Barbuda;antigua a barbuda;ATG;literal
Argentina;argentina;ARG;literal
Argentinská republika;argentinský republika;ARG;literal
Arménie;arménie;ARM;literal
Arménská republika;arménský republika;ARM;literal
Aruba;aruba;ABW;literal
Austrálie;austrálie;AUS;literal
Australské společenství;australský společenství;AUS;literal
Ázerbájdžán;ázerbájdžán;AZE;literal
Ázerbajdžán;ázerbajdžán;AZE;literal
Ázerbájdžánská republika;ázerbájdžánský republika;AZE;literal
Bahamské společenství;bahamský společenství;BHS;literal
Bahamy;bahamy;BHS;literal
Bahrajn;bahrajn;BHR;literal
Bangladéš;bangladéš;BGD;literal
Bangladéšská lidová republika;bangladéšský lidový republika;BGD;literal
Barbados;barbados;BRB;literal
Barma;barma;MMR;literal
Belgické království;belgický království;BEL;literal
Belgie;belgie;BEL;literal
Belize;belize;BLZ;literal
Běloruská republika;běloruský republika;BLR;literal
Bělorusko;bělorusko;BLR;literal
Benin;benin;BEN;literal
Beninská republika;beninský republika;BEN;literal
Bermudy;bermudy;BMU;literal
Bhútán;bhútán;BTN;literal
Bhútánské království;bhútánský království;BTN;literal
Bolívarovská republika Venezuela;bolívarovský republika venezuela;VEN;literal
Bolívie;bolívie;BOL;literal
Bolivie;bolivie;BOL;literal
Bonaire;bonaire;BES;literal
Bosna;bosna;BIH;literal
Bosna a Hercegovina;bosna a hercegovina;BIH;literal
Bosna Hercegovina;bosna hercegovina;BIH;literal
Botswana;botswana;BWA;literal
Botswanská republika;botswanský republika;BWA;literal
Brazílie;brazílie;BRA;literal
Brazilská federativní republika;brazilský federativní republika;BRA;literal
Británie;británie;GBR;literal
Britské Panenské ostrovy;britský panenský ostrov;VGB;literal
Brunej;brunej;BRN;literal
Bulharská republika;bulharský republika;BGR;literal
Bulharsko;bulharsko;BGR;literal
Burkina Faso;burkina faso;BFA;literal
Burundi;burundi;BDI;literal
Burundská republika;burundský republika;BDI;literal
Čad;čad;TCD;literal
Čadská republika;čadský republika;TCD;literal
Černá Hora;černý hora;MNE;literal
Česká republika;český republika;CZE;literal
Česko;česko;CZE;literal
Chile;chile;CHL;literal
Chilská republika;chilský republika;CHL;literal
Chorvatská republika;chorvatský republika;HRV;literal
Chorvatsko;chorvatsko;HRV;literal
Čína;čína;CHN;literal
ČLR;člr;CHN;literal
Čínská lidová republika;čínský lidový republika;CHN;literal
Čínský republika;čínský republika;CHN;literal
Cookovy ostrovy;cookův ostrov;COK;literal
ČR;čr;CZE;literal
Curaçao;curaçao;CUW;literal
Dánské království;dánský království;DNK;literal
Dánsko;dánsko;DNK;literal
Demokratická republika Svatý Tomáš a Princův ostrov;demokratický republika svatý tomáš a princův ostrov;STP;literal
Demokratická republika Východní Timor;demokratický republika východní timor;TLS;literal
Dominické společenství;dominický společenství;DMA;literal
Dominika;dominika;DMA;literal
Dominikánská republika;dominikánský republika;DOM;literal
Džibutská republika;džibutský republika;DJI;literal
Džibutsko;džibutsko;DJI;literal
Egypt;egypt;EGY;literal
Egyptská arabská republika;egyptský arabský republika;EGY;literal
Ekvádor;ekvádor;ECU;literal
Ekvádorská republika;ekvádorský republika;ECU;literal
Eritrea;eritrea;ERI;literal
Estonská republika;estonský republika;EST;literal
Estonsko;estonsko;EST;literal
Etiopie;etiopie;ETH;literal
Etiopská federativní demokratická republika;etiopský federativní demokratický republika;ETH;literal
Faerské ostrovy;faerský ostrov;FRO;literal
Federace Svatý Kryštof a Nevis;federace svatý kryštof a nevis;KNA;literal
Federativní státy Mikronésie;federativní stát mikronésie;FSM;literal
