type_final,stance,count
M2,S0,101
M2,S2,1
M2,S6,71
M3,S0,121
M3,S2,8
M3,S3,2
M3,S4,2
M3,S6,134
M4,S1,1
M5,S0,197
M5,S1,2
M5,S2,4
M5,S3,1
M5,S4,4
M5,S5,1
M5,S6,141
M6,S0,290
M6,S1,6
M6,S2,9
M6,S3,18
M6,S4,7
M6,S6,188
