article_id,year,keyword,excerpt
2020E019T003,2020,jaderná\ energie,no když se podíváme na hlasování o evropské zelené dohodě tak poslanci zamítli 2 pozměňovací návrhy které měly posílit roli jaderné energetiky. Do konečného dokumentu Evropského parlamentu se tak nedostala formulace z jednoho z těch předmětných návrhů že Evropský parlament cituji Uznává roli kterou jaderná energie hraje jako nízkouhlíková technologie národních energetických mixech. Ani se nedostala ta druhá formulace že Evropský parlament věří že jaderná energie může hrát roli v dosažení krátkých klimatických cílů. Konec konec citátu. Martin SEDLÁK programový ředitel Svazu moderní energetiky v
2022E033T071,2022,jaderná\ energie,j ČT Možná obecně zhodnotit je to teda pro Česko dobrá zpráva anebo ne že teda některé z těch podmínek nakonec nebyly vyslyšeny jako je třeba právě to hlubinné úložiště? Věra JOUROVÁ místopředsedkyně Evropské komise ANO Já si neumím představit rok zpátky že bychom byli tam kde jsme dnes že se řekne jaderná energie sice není zelená energie ale pro dlouhou dobu ji uznáme jako vhodnou pro investice. To je fakt velký posun a pro Česko je to velice dobrá zpráva. Lukáš DOLANSKÝ zpravodaj ČT Mě zajímá a to jsou ty možné žaloby teďka které Evropské komisi hrozí. Jak solidní je podle vás základ toho př
2022E003T069,2022,jaderná\ energie,za nepřijatelný. Tamější ministryně za Zelené Leonora Gewesslerová dokonce uvedla že pokud by byl návrh přijat za současných podmínek země by se proti němu bránila právní cestou. Leonore GEWESSLER rakouská ministryně pro klima a energetiku Pokud budou plány realizovány v této podobě podáme žalobu. Jaderná energie je nebezpečná a není řešením v boji s klimatickou krizí. Tereza ŘEZNÍČKOVÁ moderátorka Nesouhlasné stanovisko zastávají také Lucembursko a Španělsko. Podle něj by byl krok matoucí. Zároveň ale podporuje pro jádro a plyn vytvoření přechodné kategorie. Naopak podpořit návrh by mohla Fra
2021E222T050,2021,jaderná\ energie,obchodu ČSSD Děkuji za pozvání. Hezký večer. Jakub ŽELEZNÝ moderátor I vám pane Třešňáku na shledanou. Petr TŘEŠŇÁK poslanec člen podvýboru pro energetiku Piráti Děkuji. Na shledanou. Jakub ŽELEZNÝ moderátor Většinu elektrické energie v Česku vyrábí klasické elektrárny které znali už naši předkové. Jaderná energie která prožívala vzestup především ve druhé polovině 20. století se podílí na roční výrobě elektřiny pětinou o polovinu menší podíl má pak první moderní technologie tedy solární panely. Kolem 5 a méně je pak podíl technologií označovaných většinou jako čisté anebo šetrné k životnímu p
2021E279A084,2021,jaderná\ energie,ím do čistších zdrojů. A zároveň to dnes elektřiny z uhlí či plynu výrazně zdražuje. Tato tabulka ukazuje zdroje energií seřazené podle nebezpečnosti a také míry znečišťování. Fosilní paliva tedy uhlí ropa a plyn mají nejvíce obětí a také emisí. Dobře vychází biomasa a vodní elektrárny. Nejlépe pak jaderná energie vítr a soláry. Kromě jádra ale většina čistých zdrojů nemá v České republice důvěru politiků. Karel HAVLÍČEK ministr průmyslu a obchodu za ANO Nejsme schopni minimálně přestrojit energetiku do roku 2030 když jádro nám tady bude vznikat až ve třicátých letech a i když budeme říkat dek
