name,firstname,surname,role_raw,gender,type,n_mentions,n_docs
Jan MRKVIČKA,Jan,MRKVIČKA,ředitel humanitární a rozvojové sekce,M,M5,65,1
Ondřej TOPINKA,Ondřej,TOPINKA,moderátor,M,M1,65,63
Tereza BERNARDOVÁ,Tereza,BERNARDOVÁ,místopředsedkyně,F,M6,64,1
Eva PLÁNIČKOVÁ,Eva,PLÁNIČKOVÁ,moderátorka,F,M1,64,2
Jaroslav BŽOCH,Jaroslav,BŽOCH,místopředseda zahraničního výboru,M,M6,63,2
Jane GOODALLOVÁ,Jane,GOODALLOVÁ,britská primatoložka,F,?,62,2
Veronika GECOVÁ,Veronika,GECOVÁ,redaktorka,F,M1,61,13
Josef MICHL,Josef,MICHL,chemik nejcitovanější vědec českého původu,M,M3,61,1
Martin TYBUREC,Martin,TYBUREC,redaktor,M,M1,61,15
António GUTERRES,António,GUTERRES,generální tajemník,M,M6,61,56
Klára DOSTÁLOVÁ,Klára,DOSTÁLOVÁ,lídryně kandidátky,F,M6,60,1
Bedřich MOLDAN,Bedřich,MOLDAN,ředitel,M,M5,60,4
Jiří KOBZA,Jiří,KOBZA,místopředseda zahraničního výboru,M,M6,60,2
Marek SLAVÍK,Marek,SLAVÍK,redaktor,M,M1,59,13
Barbora ŽÍTKOVÁ,Barbora,ŽÍTKOVÁ,redaktorka,F,M1,58,10
Karel HAVLÍČEK,Karel,HAVLÍČEK,místopředseda poslaneckého klubu exministr dopravy,M,M6,58,1
Martin HÁJEK,Martin,HÁJEK,ředitel,M,M5,57,1
Alexandr MITROFANOV,Alexandr,MITROFANOV,novinář a komentátor,M,M1,57,1
Jan DAŇHELKA,Jan,DAŇHELKA,hydrolog náměstek ředitele pro hydrologii,M,M3,56,2
Zuzana PETRŮ,Zuzana,PETRŮ,moderátorka,?,M1,56,19
Petr VAŠEK,Petr,VAŠEK,redaktor,M,M1,56,7
Věra JOUROVÁ,Věra,JOUROVÁ,komisařka pro hodnoty a transparentnost,F,M6,55,1
Jan ŠMÍD,Jan,ŠMÍD,zpravodaj,M,M1,55,18
Petr SKLENIČKA,Petr,SKLENIČKA,rektor,M,M5,54,6
Veronika HEŠÍKOVÁ,Veronika,HEŠÍKOVÁ,redaktorka,F,M1,54,12
Andreas PAPADOPULOS,Andreas,PAPADOPULOS,redaktor,M,M1,54,13
Martin PŮTA,Martin,PŮTA,hejtman,M,M6,54,7
Miroslav BÁRTA,Miroslav,BÁRTA,egyptolog,M,M3,54,3
Pavel KOVÁČIK,Pavel,KOVÁČIK,místopředseda zemědělského výboru stínový ministr,M,M6,54,1
Marian JUREČKA,Marian,JUREČKA,první místopředseda strany bývalý ministr,M,M6,53,1
Martin JONÁŠ,Martin,JONÁŠ,moderátor,M,M1,52,22
Andrej BABIŠ,Andrej,BABIŠ,premiér předseda hnutí,M,M6,52,43
Jan ŘÁPEK,Jan,ŘÁPEK,redaktor,M,M1,52,12
Miroslav TRNKA,Miroslav,TRNKA,bioklimatolog,M,M3,52,6
Šádí SHANAÁH,Šádí,SHANAÁH,odborník na islám,M,M3,52,1
Lucie KŘÍŽKOVÁ,Lucie,KŘÍŽKOVÁ,redaktorka,F,M1,51,15
Jaroslav KUBERA,Jaroslav,KUBERA,předseda senátního klubu,M,M6,51,1
Marian JUREČKA,Marian,JUREČKA,předseda strany poslanec,M,M6,50,4
Pavel MERTLÍK,Pavel,MERTLÍK,rektor,M,M5,50,2
Jan ZAHRADNÍK,Jan,ZAHRADNÍK,poslanec,M,M6,50,8
Jan FROUZ,Jan,FROUZ,ředitel,M,M5,50,6
Jan BARTOŠEK,Jan,BARTOŠEK,místopředseda sněmovny místopředseda strany,M,M6,49,1
Marian JUREČKA,Marian,JUREČKA,lídr kandidátky,M,M6,49,1
Jan HAMÁČEK,Jan,HAMÁČEK,lídr kandidátky,M,M6,49,1
Markéta GREGOROVÁ,Markéta,GREGOROVÁ,poslankyně,F,M6,49,1
Václav ČERNOHORSKÝ,Václav,ČERNOHORSKÝ,moderátor,M,M1,48,11
Jan ZAHRADNÍK,Jan,ZAHRADNÍK,místopředseda poslaneckého klubu expert strany,M,M6,47,3
Ladislav OKLEŠTĚK,Ladislav,OKLEŠTĚK,lídr kandidátky,M,M6,47,1
Dana BALCAROVÁ,Dana,BALCAROVÁ,předsedkyně výboru pro životní prostředí,F,M6,47,6
Jakub NETTL,Jakub,NETTL,redaktor,M,M1,47,11
Kateřina ETRYCHOVÁ,Kateřina,ETRYCHOVÁ,redaktorka,F,M1,47,10
Petr FIALA,Petr,FIALA,lídr kandidátky,M,M6,47,1
Ivan PILNÝ,Ivan,PILNÝ,ministr financí poslanec,M,M6,46,1
Mikuláš PEKSA,Mikuláš,PEKSA,poslanec,M,M6,46,1
Aleš CHMELAŘ,Aleš,CHMELAŘ,náměstek ministra zahraničních věcí,M,M5,46,2
Pavel ZAHRADNÍČEK,Pavel,ZAHRADNÍČEK,klimatolog,M,M3,46,12
Bohuslav SOBOTKA,Bohuslav,SOBOTKA,premiér předseda strany,M,M6,46,7
Petra TUHÁČKOVÁ,Petra,TUHÁČKOVÁ,moderátorka,F,M1,46,43
Petr GAZDÍK,Petr,GAZDÍK,místopředseda,M,M6,45,4
Magda FALTOVÁ,Magda,FALTOVÁ,ředitelka,F,M5,45,1
Pavel PROŠEK,Pavel,PROŠEK,zakladatel,M,M5,45,1
Roman ONDERKA,Roman,ONDERKA,lídr kandidátky,M,M6,45,1
Tomáš VZOREK,Tomáš,VZOREK,moderátor,M,M1,45,14
Jana MAREČKOVÁ,Jana,MAREČKOVÁ,moderátorka,F,M1,45,44
Štěpánka MARTANOVÁ,Štěpánka,MARTANOVÁ,redaktorka,F,M1,44,8
Jakub VÁCHA,Jakub,VÁCHA,moderátor,M,M1,44,15
Radim FIALA,Radim,FIALA,lídr kandidátky,M,M6,44,1
Daniel SZÓRÁD,Daniel,SZÓRÁD,generální ředitel,M,M5,44,7
Lubomír ZAORÁLEK,Lubomír,ZAORÁLEK,místopředseda strany ministr zahraničních věcí,M,M6,44,1
Lukáš MATHÉ,Lukáš,MATHÉ,zpravodaj,M,M1,43,14
Jan FARSKÝ,Jan,FARSKÝ,předseda poslaneckého klubu,M,M6,43,3
Joe BIDEN,Joe,BIDEN,americký prezident,F?,M6,43,35
David MIŘEJOVSKÝ,David,MIŘEJOVSKÝ,redaktor,M,M1,43,15
Jiří GRYGAR,Jiří,GRYGAR,astronom,M,M3,43,1
Zuzana TUNOVÁ,Zuzana,TUNOVÁ,redaktorka,F,M1,42,3
Mikuláš BEK,Mikuláš,BEK,navržený ministr pro evropské záležitosti,M,M6,42,1
Donald TRUMP,Donald,TRUMP,prezident,M,M6,42,23
Markéta RADOVÁ,Markéta,RADOVÁ,redaktorka,F,M1,42,7
Tomáš PROUZA,Tomáš,PROUZA,prezident,M,M6,42,1
Pavel BĚLOBRÁDEK,Pavel,BĚLOBRÁDEK,místopředseda vlády předseda strany,M,M6,42,2
Daniel BENEŠ,Daniel,BENEŠ,generální ředitel předseda představenstva,M,M5,42,1
Daniel BENEŠ,Daniel,BENEŠ,generální ředitel,M,M5,42,4
Jan MAJÍČEK,Jan,MAJÍČEK,lídr kandidátky,M,M6,41,1
Hana SCHARFFOVÁ,Hana,SCHARFFOVÁ,redaktorka,F,M1,41,13
Miloš ZEMAN,Miloš,ZEMAN,prezident republiky,M,M6,40,14
Jan ŠVEJNAR,Jan,ŠVEJNAR,ekonom ředitel,M,M5,40,1
Lubomír ZAORÁLEK,Lubomír,ZAORÁLEK,ministr zahraničí v demisi místopředseda,M,M6,40,1
Jaroslav BAŠTA,Jaroslav,BAŠTA,lídr kandidátky,M,M6,39,1
Alexander AČ,Alexander,AČ,vědecký pracovník,M,M3,39,4
Barbora ŠÁMALOVÁ,Barbora,ŠÁMALOVÁ,zpravodajka,F,M1,39,13
Vladimír PISKALA,Vladimír,PISKALA,redaktor,M,M1,39,8
Nikola TENEVOVÁ,Nikola,TENEVOVÁ,redaktorka,F,M1,39,9
Senátu PČR,Senátu,PČR,místopředseda strany,M,M6,38,1
Jan BERÁNEK,Jan,BERÁNEK,redaktor,M,M1,38,7
Vojtěch FILIP,Vojtěch,FILIP,místopředseda,M,M6,38,3
Martin LAŠTŮVKA,Martin,LAŠTŮVKA,redaktor,M,M1,38,8
Milan KŘÍSTEK,Milan,KŘÍSTEK,generální ředitel,M,M5,38,1
Ludvík ŠULDA,Ludvík,ŠULDA,lídr kandidátky,M,M6,38,1
Josef KVASNIČKA,Josef,KVASNIČKA,redaktor,M,M1,38,10
Václav CÍLEK,Václav,CÍLEK,geolog klimatolog,M,M3,38,3
Petr VALEČKO,Petr,VALEČKO,redaktor,M,M1,37,9
Tomáš CHALUPA,Tomáš,CHALUPA,ministr životního prostředí,M,M6,37,2
Miloš ČAPEK,Miloš,ČAPEK,starosta,M,M6,37,1
Richard BRABEC,Richard,BRABEC,vicepremiér ministr životního prostředí,M,M6,37,4
Petr HORKÝ,Petr,HORKÝ,cestovatel režisér,M,M5,37,1
Richard BRABEC,Richard,BRABEC,ministr životního prostředí poslanec,M,M6,37,3
Ivo POJEZNÝ,Ivo,POJEZNÝ,lídr kandidátky,M,M6,37,1
Bohuslav SOBOTKA,Bohuslav,SOBOTKA,premiér,M,M6,37,31
Der LEYENOVÁ,Der,LEYENOVÁ,předsedkyně,F,M6,37,27
Alexandr VONDRA,Alexandr,VONDRA,bývalý ministr obrany a zahraničí,M,M6,37,3
Libor ROUČEK,Libor,ROUČEK,bývalý místopředseda,M,M6,36,2
Karel HAVLÍČEK,Karel,HAVLÍČEK,ministr průmyslu a obchodu za,M,M6,36,3
Alexandr VONDRA,Alexandr,VONDRA,europoslanec,M,M6,36,4
Michael ROMANCOV,Michael,ROMANCOV,politický geograf,M,M3,36,8
Jan BERÁNEK,Jan,BERÁNEK,manažer organizačního rozvoje,M,M5,36,1
Adolf ŠLÁR,Adolf,ŠLÁR,praktikuje očistné kúry učitel z,M,?,36,1
Martin MIKULE,Martin,MIKULE,redaktor,M,M1,36,4
Jaroslav BAŠTA,Jaroslav,BAŠTA,bývalý velvyslanec v,M,M6,36,2
Jan PIŇOS,Jan,PIŇOS,koordinátor dobrovolníků na,M,M5,36,1
Pavel TELIČKA,Pavel,TELIČKA,místopředseda,M,M6,36,1
Danuše NERUDOVÁ,Danuše,NERUDOVÁ,předsedkyně,F,M6,36,1
Filip ČERNÝ,Filip,ČERNÝ,moderátor,M,M1,36,1
Vilma PARTYKOVÁ,Vilma,PARTYKOVÁ,propaguje hladovku a léčbu urinoterapií,F,?,35,1
Petr HONZEJK,Petr,HONZEJK,komentátor,M,M1,35,3
Vendula HORNÍKOVÁ,Vendula,HORNÍKOVÁ,moderátorka,F,M1,35,2
Jeffrey SACHS,Jeffrey,SACHS,ekonom,M,M5,35,1
Martin TOLAR,Martin,TOLAR,neurolog,M,M3,35,2
Kateřina POLÁKOVÁ,Kateřina,POLÁKOVÁ,redaktorka,F,M1,35,7
Zdeněk HŘIB,Zdeněk,HŘIB,primátor hl,M,M6,35,7
David KASAL,David,KASAL,lídr kandidátky,M,M6,35,1
Martin BURSÍK,Martin,BURSÍK,bývalý ministr životního prostředí,M,M6,35,6
Zdeněk ONDRÁČEK,Zdeněk,ONDRÁČEK,lídr kandidátky,M,M6,35,1
Jakub MICHÁLEK,Jakub,MICHÁLEK,předseda poslaneckého klubu,M,M6,35,2
Luděk NIEDERMAYER,Luděk,NIEDERMAYER,poslanec,M,M6,34,3
Daniel PROKOP,Daniel,PROKOP,sociolog zakladatel,M,M3,34,1
Daniel PROKOP,Daniel,PROKOP,sociolog,M,M3,34,2
Emmanuel MACRON,Emmanuel,MACRON,francouzský prezident,M,M6,34,34
Heřman ČADIL,Heřman,ČADIL,kouč zdravého životního stylu,M,M5,34,1
Robert PLAGA,Robert,PLAGA,ministr školství mládeže a tělovýchovy,M,M6,34,1
Pavel KOHOUT,Pavel,KOHOUT,primář interního oddělení a vedoucí,M,M3,34,1
Pavel ZÁMYSLICKÝ,Pavel,ZÁMYSLICKÝ,ředitel odboru energetiky a ochrany,M,M5,33,5
Jiří MILEK,Jiří,MILEK,ministr zemědělství v demisi nestr,M,M6,33,2
Ivan GABAL,Ivan,GABAL,sociolog,M,M3,33,1
Denisa KOTKOVÁ,Denisa,KOTKOVÁ,redaktorka,F,M1,33,6
Petr HAVEL,Petr,HAVEL,agrární analytik,M,M5,33,3
Ivan PILIP,Ivan,PILIP,ekonom exministr financí a školství,M,M5,33,1
Jan ZAHRADIL,Jan,ZAHRADIL,poslanec,M,M6,33,4
Miloš VYSTRČIL,Miloš,VYSTRČIL,nový předseda,M,M6,33,1
Václav KLAUS,Václav,KLAUS,bývalý prezident,M,M6,33,5
Ondřej KOLÁŘ,Ondřej,KOLÁŘ,starosta městské části,M,M6,33,3
Jan MLÁDEK,Jan,MLÁDEK,ministr průmyslu a obchodu,M,M6,33,5
Katarína SEDLÁČKOVÁ,Katarína,SEDLÁČKOVÁ,moderátorka,F,M1,33,11
Jan HRNČÍŘ,Jan,HRNČÍŘ,lídr kandidátky,M,M6,32,1
Petr KUBALA,Petr,KUBALA,generální ředitel,M,M5,32,2
Marek TURČÁNI,Marek,TURČÁNI,děkan,M,M5,32,7
Andrej BABIŠ,Andrej,BABIŠ,premiér a předseda hnutí,M,M6,32,11
David STORCH,David,STORCH,biolog evoluční ekolog,M,M3,32,1
Zdeněk JANDEJSEK,Zdeněk,JANDEJSEK,prezident,M,M6,32,5
Drahoslav RYBA,Drahoslav,RYBA,ředitel,M,M5,32,1
Karel KLEM,Karel,KLEM,vědecký pracovník,M,M3,32,4
Jan HRADECKÝ,Jan,HRADECKÝ,děkan,M,M5,32,11
Vladimír KEBLÚŠEK,Vladimír,KEBLÚŠEK,redaktor,M,M1,32,6
Tomáš KAFKA,Tomáš,KAFKA,velvyslanec,M,M6,32,2
Michal BROŽA,Michal,BROŽA,vedoucí informační kanceláře,M,M5,32,1
Donald TUSK,Donald,TUSK,předseda,M,M6,32,31
Petr SOJKA,Petr,SOJKA,moderátor,M,M1,32,7
Michal BROŽA,Michal,BROŽA,vedoucí zastoupení,M,M5,31,1
Iva JONÁŠOVÁ,Iva,JONÁŠOVÁ,šéfredaktorka,F,M5,31,1
Igor LUKEŠ,Igor,LUKEŠ,profesor historie a mezinárodních vztahů,M,M3,31,2
Martin ROZUMEK,Martin,ROZUMEK,ředitel,M,M5,31,1
Mirek TOPOLÁNEK,Mirek,TOPOLÁNEK,bývalý premiér,M,M6,31,2
Jan PIRKL,Jan,PIRKL,moderátor,M,M1,30,14
René MAŠÍN,René,MAŠÍN,náčelník a ředitel,M,M6,30,1
Tomio OKAMURA,Tomio,OKAMURA,lídr kandidátky,M,M6,30,1
Petr FIALA,Petr,FIALA,předseda,M,M6,30,2
Hana ČÁPOVÁ,Hana,ČÁPOVÁ,redaktorka,F,M1,30,1
Václav HAMPL,Václav,HAMPL,senátor bývalý rektor,M,M6,30,1
Věra JOUROVÁ,Věra,JOUROVÁ,místopředsedkyně,F,M6,30,7
Lída RAKUŠANOVÁ,Lída,RAKUŠANOVÁ,komentátorka,F,M1,30,1
Zdeněk VERMOUZEK,Zdeněk,VERMOUZEK,ředitel,M,M5,30,4
Tomáš CHALUPA,Tomáš,CHALUPA,ministr životního prostředí v demisi,M,M6,29,1
Mikuláš FERJENČÍK,Mikuláš,FERJENČÍK,lídr kandidátky,M,M6,29,1
Michaela ŠOJDROVÁ,Michaela,ŠOJDROVÁ,europoslankyně,F,M6,29,1
Jakub LANGHAMMER,Jakub,LANGHAMMER,hydrolog,M,M3,29,1
Pavla JAZAIRIOVÁ,Pavla,JAZAIRIOVÁ,novinářka spisovatelka cestovatelka,F,M1,29,1
Bedřich MOLDAN,Bedřich,MOLDAN,bývalý ministr životního prostředí,M,M6,29,2
Alexander AČ,Alexander,AČ,ekolog,M,M3,29,8
Josef STEMBERK,Josef,STEMBERK,inženýrský geolog,M,M3,29,1
Petr NEČAS,Petr,NEČAS,premiér a předseda strany,M,M6,29,2
Jan PAČES,Jan,PAČES,genetik,M,M3,28,1
Marek ČERNOCH,Marek,ČERNOCH,předseda poslaneckého klubu,M,M6,28,2
Miloš ZEMAN,Miloš,ZEMAN,prezident,M,M6,28,17
Vilém ŽÁK,Vilém,ŽÁK,náměstek ministra zemědělství,M,M5,28,2
Robert PELIKÁN,Robert,PELIKÁN,ministr spravedlnosti nestr,M,M6,28,1
Monika FLEISCHMANNOVÁ,Monika,FLEISCHMANNOVÁ,redaktorka,F,M1,28,7
Boris JOHNSON,Boris,JOHNSON,britský premiér,M,M6,28,28
Šimon PÁNEK,Šimon,PÁNEK,ředitel,M,M5,28,1
Ludvík CIMBUREK,Ludvík,CIMBUREK,poradce náčelníka,M,M5,28,1
Vojtěch KOTECKÝ,Vojtěch,KOTECKÝ,analytik,M,M5,28,8
Jan MLÁDEK,Jan,MLÁDEK,kandidát na ministra průmyslu a,M,M6,28,2
Ivana BÁRTOVÁ,Ivana,BÁRTOVÁ,moderátorka,F,M1,28,17
Radek HOLOMČÍK,Radek,HOLOMČÍK,lídr kandidátky,M,M6,28,1
Jan ČERNÝ,Jan,ČERNÝ,ředitel,M,M5,28,1
Mirek TOPOLÁNEK,Mirek,TOPOLÁNEK,bývalý premiér bývalý předseda,M,M6,28,1
Bedřich MOLDAN,Bedřich,MOLDAN,ekolog geochemik bývalý ministr životního,M,M3,28,1
Petr HORÁČEK,Petr,HORÁČEK,lesnický expert,M,M5,28,1
Michaela VALACHOVÁ,Michaela,VALACHOVÁ,hydrometeoroložka,F,?,27,1
Michael ŽANTOVSKÝ,Michael,ŽANTOVSKÝ,bývalý velvyslanec v,M,M6,27,2
Václav VÉVODA,Václav,VÉVODA,lídr kandidátky,M,M6,27,1
Miroslav BÁRTA,Miroslav,BÁRTA,egyptolog prorektor,M,M3,27,1
Miloš MENDEL,Miloš,MENDEL,arabista islamolog,M,?,27,1
