name,firstname,surname,role_raw,gender,type,n_mentions,n_docs
Václav MORAVEC,Václav,MORAVEC,moderátor,M,M1,2366,65
Daniel TAKÁČ,Daniel,TAKÁČ,moderátor,M,M1,2066,93
Zuzana TVARŮŽKOVÁ,Zuzana,TVARŮŽKOVÁ,moderátorka,F,M1,1802,81
Jiří VÁCLAVEK,Jiří,VÁCLAVEK,moderátor,M,M1,1583,126
Jakub ŽELEZNÝ,Jakub,ŽELEZNÝ,moderátor,M,M1,1477,149
Světlana WITOWSKÁ,Světlana,WITOWSKÁ,moderátorka,F,M1,1238,108
Lukáš DOLANSKÝ,Lukáš,DOLANSKÝ,moderátor,M,M1,1135,32
Michaela JÍLKOVÁ,Michaela,JÍLKOVÁ,moderátorka,F,M1,1019,11
Tomáš DRAHOŇOVSKÝ,Tomáš,DRAHOŇOVSKÝ,moderátor,M,M1,832,109
Daniel STACH,Daniel,STACH,moderátor,M,M1,782,14
Michal KUBAL,Michal,KUBAL,moderátor,M,M1,732,131
David BOREK,David,BOREK,moderátor,M,M1,708,42
Martin ŘEZNÍČEK,Martin,ŘEZNÍČEK,moderátor,M,M1,657,92
Daniela PÍSAŘOVICOVÁ,Daniela,PÍSAŘOVICOVÁ,moderátorka,F,M1,626,109
Marcela AUGUSTOVÁ,Marcela,AUGUSTOVÁ,moderátorka,F,M1,610,127
Hana SCHARFFOVÁ,Hana,SCHARFFOVÁ,moderátorka,F,M1,586,180
Richard BRABEC,Richard,BRABEC,ministr životního prostředí,M,M6,496,97
Bohumil KLEPETKO,Bohumil,KLEPETKO,moderátor,M,M1,481,38
Barbora KROUŽKOVÁ,Barbora,KROUŽKOVÁ,moderátorka,F,M1,444,36
Jana PEROUTKOVÁ,Jana,PEROUTKOVÁ,moderátorka,F,M1,394,86
Linda BARTOŠOVÁ,Linda,BARTOŠOVÁ,moderátorka,F,M1,347,83
Tereza ŘEZNÍČKOVÁ,Tereza,ŘEZNÍČKOVÁ,moderátorka,F,M1,337,6
Josef ELSTER,Josef,ELSTER,vedoucí,M,M5,314,5
Roman FOJTA,Roman,FOJTA,moderátor,M,M1,309,180
Michal ŽÁK,Michal,ŽÁK,meteorolog,M,M3,301,47
Martin ŘEZNÍČEK,Martin,ŘEZNÍČEK,redaktor,M,M1,277,53
Milada MCGRATHOVÁ,Milada,MCGRATHOVÁ,redaktorka,F,M1,265,58
Richard BRABEC,Richard,BRABEC,ministr životního prostředí místopředseda hnutí,M,M6,244,13
Tomáš ŠPONAR,Tomáš,ŠPONAR,moderátor,M,M1,227,90
Milan BRUNCLÍK,Milan,BRUNCLÍK,redaktor,M,M1,205,38
Andrej BABIŠ,Andrej,BABIŠ,premiér,M,M6,192,50
Jakub SZÁNTÓ,Jakub,SZÁNTÓ,moderátor,M,M1,186,84
Pavel KARAS,Pavel,KARAS,meteorolog,M,M3,169,10
Daniela DRTINOVÁ,Daniela,DRTINOVÁ,moderátorka,F,M1,154,7
Jan ROVENSKÝ,Jan,ROVENSKÝ,vedoucí energetické kampaně,M,M5,147,4
Dana ZLATOHLÁVKOVÁ,Dana,ZLATOHLÁVKOVÁ,redaktorka,F,M1,142,33
Alexander TOMSKÝ,Alexander,TOMSKÝ,politolog nakladatel publicista,M,M3,140,1
Marian JUREČKA,Marian,JUREČKA,ministr zemědělství,M,M6,139,19
Dana ZLATOHLÁVKOVÁ,Dana,ZLATOHLÁVKOVÁ,moderátorka,F,M1,139,49
Katarína SEDLÁČKOVÁ,Katarína,SEDLÁČKOVÁ,redaktorka,F,M1,138,29
Miroslav TOMAN,Miroslav,TOMAN,ministr zemědělství nestr,M,M6,137,15
Michala HERGETOVÁ,Michala,HERGETOVÁ,moderátorka,F,M1,135,12
Josef STŘEDULA,Josef,STŘEDULA,předseda,M,M6,135,8
Jan KOCOUREK,Jan,KOCOUREK,redaktor,M,M1,133,27
Jan ŠILHAN,Jan,ŠILHAN,redaktor,M,M1,129,26
Iva KUBANKOVÁ,Iva,KUBANKOVÁ,moderátorka,F,M1,127,34
Drahoslav RYBA,Drahoslav,RYBA,generální ředitel,M,M5,126,2
Linda BARTOŠOVÁ,Linda,BARTOŠOVÁ,redaktorka,F,M1,126,38
Jan PRETEL,Jan,PRETEL,klimatolog,M,M3,119,8
Tomáš HUDEČEK,Tomáš,HUDEČEK,primátor hl,M,M6,118,1
Vladimír DLOUHÝ,Vladimír,DLOUHÝ,prezident,M,M6,113,5
Michaela NOVÁKOVÁ,Michaela,NOVÁKOVÁ,moderátorka,F,M1,112,7
Oliver JAHN,Oliver,JAHN,redaktor,M,M1,112,29
Mark RIEDER,Mark,RIEDER,ředitel,M,M5,110,12
Josef VOJÁČEK,Josef,VOJÁČEK,generální ředitel,M,M5,110,6
Lukáš DOLANSKÝ,Lukáš,DOLANSKÝ,zpravodaj,M,M1,109,33
Dana DRÁBOVÁ,Dana,DRÁBOVÁ,předsedkyně,F,M6,107,8
Blanka ZÁVITKOVSKÁ,Blanka,ZÁVITKOVSKÁ,redaktorka,F,M1,106,27
Radim TOLASZ,Radim,TOLASZ,klimatolog,M,M3,105,16
Lubomír ZAORÁLEK,Lubomír,ZAORÁLEK,ministr zahraničí,M,M6,105,10
Martin JONÁŠ,Martin,JONÁŠ,zpravodaj,M,M1,104,26
Jaroslav MÍL,Jaroslav,MÍL,vládní zmocněnec pro jadernou energetiku,M,M6,100,5
Barbora MAXOVÁ,Barbora,MAXOVÁ,redaktorka,F,M1,99,19
David MIŘEJOVSKÝ,David,MIŘEJOVSKÝ,zpravodaj,M,M1,98,31
Jaroslav KUBERA,Jaroslav,KUBERA,místopředseda,M,M6,91,3
Bedřich MOLDAN,Bedřich,MOLDAN,zástupce ředitele,M,M5,90,11
Klára BAZALOVÁ,Klára,BAZALOVÁ,moderátorka,F,M1,90,6
Miloš VYSTRČIL,Miloš,VYSTRČIL,předseda,M,M6,90,7
Jaroslav FALTÝNEK,Jaroslav,FALTÝNEK,předseda zemědělského výboru,M,M6,88,2
Alena SCHILLEROVÁ,Alena,SCHILLEROVÁ,lídryně kandidátky,F,M6,86,1
Michal BĚLKA,Michal,BĚLKA,redaktor,M,M1,85,19
Luděk NIEDERMAYER,Luděk,NIEDERMAYER,europoslanec,M,M6,84,6
Zdeněk SKOKAN,Zdeněk,SKOKAN,redaktor,M,M1,83,11
Ivo MATHÉ,Ivo,MATHÉ,bývalý vedoucí,M,M5,82,1
Bohumil VOSTAL,Bohumil,VOSTAL,zpravodaj,M,M1,82,27
Mikuláš PEKSA,Mikuláš,PEKSA,europoslanec,M,M6,80,10
Taťána MÍKOVÁ,Taťána,MÍKOVÁ,meteoroložka,F,M3,79,18
Pavel ŠIMEK,Pavel,ŠIMEK,redaktor,M,M1,79,15
Ivana ŠMELOVÁ,Ivana,ŠMELOVÁ,moderátorka,F,M1,78,26
Ivan BARTOŠ,Ivan,BARTOŠ,předseda strany,M,M6,77,14
Pavel KOVÁČIK,Pavel,KOVÁČIK,předseda poslaneckého klubu,M,M6,77,8
Radek VONDRÁČEK,Radek,VONDRÁČEK,předseda,M,M6,77,8
Václav ČERNOHORSKÝ,Václav,ČERNOHORSKÝ,zpravodaj,M,M1,76,17
Peter SINGER,Peter,SINGER,filozof efektivní altruista,M,M3,76,1
Václav ČERNOHORSKÝ,Václav,ČERNOHORSKÝ,redaktor,M,M1,76,21
Lukáš DOLANSKÝ,Lukáš,DOLANSKÝ,redaktor,M,M1,74,23
Martin PÝCHA,Martin,PÝCHA,předseda,M,M6,74,8
Václav CÍLEK,Václav,CÍLEK,geolog,M,M3,74,5
Bohumil VOSTAL,Bohumil,VOSTAL,redaktor,M,M1,74,23
Alena ZÁRYBNICKÁ,Alena,ZÁRYBNICKÁ,moderátorka,F,M1,74,12
Jana BÍLEK MAREČKOVÁ,Jana,BÍLEK MAREČKOVÁ,moderátorka,F,M1,73,61
Robert FULGHUM,Robert,FULGHUM,americký spisovatel,M,M5,72,1
Donald TRUMP,Donald,TRUMP,americký prezident,M,M6,72,59
Barack OBAMA,Barack,OBAMA,americký prezident,M,M6,71,51
Tereza KRUČINSKÁ,Tereza,KRUČINSKÁ,moderátorka,F,M1,71,48
Ondřej NEKOLA,Ondřej,NEKOLA,redaktor,M,M1,71,14
Petr FIALA,Petr,FIALA,předseda strany kandidát koalice,M,M6,70,1
Michal ŽÁK,Michal,ŽÁK,klimatolog meteorolog,M,M3,70,12
Radek MÁTL,Radek,MÁTL,generální ředitel,M,M5,70,2
Miroslav ŠEVČÍK,Miroslav,ŠEVČÍK,děkan,M,M5,69,1
Václav BARTUŠKA,Václav,BARTUŠKA,zvláštní velvyslanec pro energetickou bezpečnost,M,M6,69,1
Angela MERKELOVÁ,Angela,MERKELOVÁ,německá kancléřka,F,M6,69,58
Petr ZAVADIL,Petr,ZAVADIL,redaktor,M,M1,68,14
Tomáš ŠPONAR,Tomáš,ŠPONAR,redaktor,M,M1,68,14
Marian JUREČKA,Marian,JUREČKA,předseda strany,M,M6,68,10
Radovan DANĚK,Radovan,DANĚK,redaktor,M,M1,68,17
Zdeněk VELÍŠEK,Zdeněk,VELÍŠEK,komentátor,M,M1,67,15
Antonín PRACHAŘ,Antonín,PRACHAŘ,ministr dopravy,M,M6,67,1
Martin ŘEZNÍČEK,Martin,ŘEZNÍČEK,zpravodaj,M,M1,66,19
Tereza STÁRKOVÁ,Tereza,STÁRKOVÁ,redaktorka,F,M1,66,10
Václav BARTUŠKA,Václav,BARTUŠKA,zvláštní zmocněnec pro energetickou bezpečnost,M,M6,66,1
Marie ŠABACKÁ,Marie,ŠABACKÁ,polární bioložka,F,M3,66,2
Martin JONÁŠ,Martin,JONÁŠ,redaktor,M,M1,66,20
Barbora ŠÁMALOVÁ,Barbora,ŠÁMALOVÁ,redaktorka,F,M1,65,20
