year,Code,income,n_docs,n_mentions
2012,CZE,High income,381,381
2012,DEU,High income,56,56
2012,USA,High income,42,42
2012,GRC,High income,39,39
2012,SVK,High income,33,33
2012,GBR,High income,30,30
2012,POL,High income,28,28
2012,ESP,High income,27,27
2012,FRA,High income,23,23
2012,RUS,Upper middle income,21,21
2012,ITA,High income,17,17
2012,AUT,High income,16,16
2012,CHN,Upper middle income,16,16
2012,HUN,High income,11,11
2012,ROU,High income,11,11
2012,IND,Lower middle income,10,10
2012,SWE,High income,10,10
2012,DMA,Upper middle income,8,8
2012,JPN,High income,7,7
2012,NOR,High income,7,7
2012,AFG,Low income,6,6
2012,CUB,Upper middle income,6,6
2012,BEL,High income,5,5
2012,DNK,High income,5,5
2012,CHE,High income,4,4
2012,IRL,High income,4,4
2012,NGA,Lower middle income,4,4
2012,PRT,High income,4,4
2012,AUS,High income,3,3
2012,BGR,Upper middle income,3,3
2012,BLR,Upper middle income,3,3
2012,CAN,High income,3,3
2012,COD,Low income,3,3
2012,EGY,Lower middle income,3,3
2012,FIN,High income,3,3
2012,ISL,High income,3,3
2012,ISR,High income,3,3
2012,LTU,High income,3,3
2012,SRB,Upper middle income,3,3
2012,GEO,Upper middle income,2,2
2012,HKG,High income,2,2
2012,HTI,Lower middle income,2,2
2012,MYS,Upper middle income,2,2
2012,PRK,Low income,2,2
2012,SLE,Low income,2,2
2012,SOM,Low income,2,2
2012,SYR,Low income,2,2
2012,TZA,Lower middle income,2,2
2012,UKR,Lower middle income,2,2
2012,AGO,Lower middle income,1,1
2012,ARG,Upper middle income,1,1
2012,BGD,Lower middle income,1,1
2012,BOL,Lower middle income,1,1
2012,BRA,Upper middle income,1,1
2012,COL,Upper middle income,1,1
2012,ECU,Upper middle income,1,1
2012,EST,High income,1,1
2012,ETH,Low income,1,1
2012,GRL,High income,1,1
2012,HRV,High income,1,1
2012,IRN,Lower middle income,1,1
2012,KEN,Lower middle income,1,1
2012,KOR,High income,1,1
2012,LAO,Lower middle income,1,1
2012,MEX,Upper middle income,1,1
