name,type_final,gender_final,n_mentions,n_docs
Martin BURSÍK,M5,M,22,2
Zuzana NEUVIRTOVÁ,M1,F,22,7
Robert ŠLACHTA,M6,M,22,2
Jana FABIANOVÁ,M1,F,22,9
Milena HRDINKOVÁ,M6,F,22,5
Jiří ČÁSLAVKA,M5,M,22,1
Martin PROS,M5,M,22,1
Ondřej KNOTEK,M6,M,22,6
Petr HAVEL,M6,M,22,1
Pavel POC,M6,M,22,2
Martin TOPINKA,M3,M,21,1
Kateřina PROCHÁZKOVÁ,M1,F,21,4
Michael FIALA,M1,M,21,2
Lenka TESKA ARNOŠTOVÁ,M5,F,21,1
Vítězslav KREMLÍK,M5,M,21,1
Jan ZIKA,M1,M,21,21
Jakub PACNER,M1,M,21,17
Martina TLACHOVÁ,M1,F,21,6
Klára SUTLOVIČOVÁ,M5,F,21,4
Petr ZAHRADNÍK,M5,M,21,5
Jan ČERNÝ,M1,M,21,7
Petr STUCHLÍK,M6,M,21,1
Karel DRBAL,M3,M,21,2
Marcel KOLAJA,M6,M,21,5
Jan KRAJHANZL,M3,M,21,4
Veronika KABÁTOVÁ,M1,F,21,3
Stanislav POLČÁK,M6,M,21,3
Jana HYBÁŠKOVÁ,M6,F,20,1
Ladislav METELKA,M3,M,20,3
Ladislav MACHALA,M3,M,20,1
Jitka SZÁSZOVÁ,M1,F,20,4
Jakub HORT,M3,M,20,1
Hynek BLAŠKO,M6,M,20,1
Ivan LUKÁŠ,M1,M,20,3
Dan JIRÁNEK,M5,M,20,2
Petra JELÍNKOVÁ,M5,F,20,1
Zdeněk FUČÍK,M1,M,20,4
Francois HOLLANDE,M6,M,20,20
Miroslav ZÁMEČNÍK,M5,M,20,2
Renata MALÍKOVÁ,M1,F,20,4
Anna HUBÁČKOVÁ,M6,F,20,10
Daniel ANÝŽ,M1,M,20,2
Radka MAXOVÁ,M6,F,20,1
Jan SKOPEČEK,M6,M,20,7
Iveta RADIČOVÁ,M3,F,19,1
René NEDĚLA,M5,M,19,5
Lumír NĚMEC,M6,M,19,1
Jan PAVLÍK,M3,M,19,2
Marek STONIŠ,M5,M,19,1
Alexander TOMSKÝ,M1,M,19,1
Alena ZÁRYBNICKÁ,M3,F,19,6
Jan DRAHOKOUPIL,M5,M,19,2
Pan KI MUN,M6,M,19,17
Petr MALÝ,M1,M,19,3
Petr BROD,M1,M,19,1
Martin KUPKA,M6,M,19,5
John KERRY,M6,M,19,16
Milan URBAN,M6,M,19,3
Zbyněk STANJURA,M6,M,18,10
Lukáš JELÍNEK,M5,M,18,2
Jan ŠVEJNAR,M3,M,18,1
Radka ZÍTKOVÁ,M1,F,18,4
Petra MUSILOVÁ,M1,F,18,4
Hnutí DUHA,?,M,18,6
Hanuš HANSLÍK,M1,M,18,1
Jiří SVOBODA,M3,M,18,1
Petr ROBEJŠEK,M3,M,18,2
Vratislav JANDA,M5,M,18,1
Roman GAZDÍK,M1,M,18,3
Luděk PRUDIL,M5,M,18,3
Jiří PAYNE,M5,M,18,1
Kristina CIROKOVÁ,M1,F,18,2
Si ŤIN PCHING,M6,M,18,17
Karel MATĚJKA,M3,M,18,3
Martin FREUND,M6,M,18,1
Bořivoj HNÍZDO,M3,M,18,4
Traian URBAN,M3,M,18,2
Ondřej VESELÝ,M6,M,18,4
Lucie KUČEROVÁ,M1,F,18,5
Eva SPÁČILOVÁ,M1,F,18,4
Miloslava HÁLOVÁ,M3,F,18,1
Jakub MUSIL,M1,M,18,4
Oleg DITRICH,M3,M,18,3
Zdeňka VÍCHOVÁ,M6,F,17,1
Petr ŠTĚPÁNEK,M6,M,17,2
Miroslav SINGER,M6,M,17,1
Eduard MUŘICKÝ,M5,M,17,2
Jaroslav ŠTEFEC,M5,M,17,1
František LAUDÁT,M6,M,17,4
Martin KLOZ,M5,M,17,1
Ondřej PUCZOK,M1,M,17,3
Katarína FAGOŠOVÁ,M1,F,17,4
Pavel PODRUH,M2,M,17,1
Josef KRAUS,M5,M,17,1
Jana ŠRÁMKOVÁ,M1,F,17,4
Martin DONÁT,M1,M,17,5
Markéta ŽIŽKOVÁ,M1,F,17,3
Daniel ANÝŽ,M5,M,17,1
Vladimír BAAR,M3,M,17,2
Veronika PITROVÁ,M1,F,17,4
Martin LEIŠ,M5,M,17,1
Kateřina JIROVSKÁ,M1,F,17,5
Josef PAZDERKA,M1,M,17,5
Pavel BOROVIČKA,M3,M,17,5
Milan ŠARAPATKA,M6,M,17,1
Jan RAFAJ,M6,M,17,2
Radim TOLASZ,M5,M,17,6
Marie PĚNČÍKOVÁ,M6,F,17,4
Zdeněk ŽALUD,M3,M,17,3
Ivanna ILLYENKO,M2,F,17,1
Radim HOLIŠ,M6,M,16,1
Markéta KUTILOVÁ,M1,F,16,1
Pavla KRŮČKOVÁ,M1,F,16,4
Václav HLAVÁČEK,M6,M,16,3
Jan REMEŠ,M5,M,16,1
Theresa MAYOVÁ,M6,F,16,11
David RÝVA,M3,M,16,2
Bohumír JANSKÝ,M3,M,16,3
Daniel KROUPA,M3,M,16,3
David ATTENBOROUGH,M3,M,16,9
Veronika HOLCNEROVÁ,M5,F,16,1
Martin SMOLEK,M5,M,16,2
Olaf SCHOLZ,M6,M,16,12
Tomáš CHMELÍK,M5,M,16,3
Jaroslav HOLUŠA,M3,M,16,1
Jiří FRIML,M3,M,16,1
Ondřej HEJMA,M1,M,16,1
Lucie BOTOROVÁ,M1,F,16,5
Barbara WINTONOVÁ,M2,F,16,1
František ŠOPKO,M3,M,16,3
Lesy ČR,?,M,16,4
Dominika ŘEBÍKOVÁ,M1,F,16,5
Milan ŠÁLEK,M3,M,16,2
Petr KAMBERSKÝ,M1,M,16,3
Ondřej LIŠKA,M6,M,16,1
Aleš FARDA,M3,M,16,2
Adam VOJTĚCH,M6,M,16,6
Kryštof KOZÁK,M5,M,15,1
Otakar FOLTÝN,M5,M,15,2
Vojtěch VARYŠ,M1,M,15,1
Jakub LINKA,M1,M,15,3
Jiří MATOUŠEK,M6,M,15,1
Jiří PEHE,M3,M,15,3
Stanislav GROSPIČ,M6,M,15,5
Stanislav KOZLÍK,M6,M,15,2
Jiří UNGER,M3,M,15,1
Petr KOLÁŘ,M6,M,15,2
Erik TABERY,M5,M,15,4
Tomáš TYML,M3,M,15,3
Bohumil ŠIMEK,M6,M,15,1
Lubomír HAŠLÍK,M3,M,15,1
Jiří MALÍK,M6,M,15,1
Jaroslav ŠEBEK,M3,M,15,2
Ludmila HRDLIČKOVÁ,M2,F,15,1
Bohuslav CHALUPA,M5,M,15,1
Michal BERG,M6,M,15,1
Taťána MÍKOVÁ,M1,F,15,2
Jan ČIŽINSKÝ,M6,M,15,2
Milan KNÍŽÁK,M2,M,15,1
Andrea PAVELKOVÁ,M1,F,15,2
Tomáš JIRSA,M6,M,15,1
Blanka POULOVÁ,M1,F,14,5
Jan JEDLIČKA,M5,M,14,2
Tomáš JELÍNEK,M5,M,14,1
Martina ČELIŠOVÁ,M1,F,14,3
Petr KRATOCHVÍL,M5,M,14,1
Pavel KRČ,M5,M,14,1
Antonín PŘICHYSTAL,M3,M,14,2
Luboš DOSTÁL,M1,M,14,2
Martin BAXA,M6,M,14,1
Kristýna BŘEZOVSKÁ,M1,F,14,3
Johana BÁZLEROVÁ,M2,F,14,1
Valburga VAVŘINOVÁ,M3,F,14,1
Richard FRANC,M6,M,14,2
Michal CAGALA,M1,M,14,4
Petr PITHART,M6,M,14,2
Karolína JELÍNKOVÁ,M1,F,14,5
Pavel KALENDA,M3,M,14,1
František BERÁNEK,M2,M,14,1
Tomáš HAAS,M5,M,14,1
Luděk RŮŽIČKA,M2,M,14,1
Cyril SVOBODA,M6,M,14,3
Markéta ČERNÁ,M1,F,14,3
Martin RUSEK,M1,M,14,4
Margita BALAŠTÍKOVÁ,M6,F,14,2
Vítězslav KREMLÍK,M4,M,14,2
Miloslav LUDVÍK,M6,M,14,3
Jan PŘÍHODA,M6,M,14,3
Jan RÝDL,M1,M,13,1
Milan ŠTĚCH,M6,M,13,2
Pavel HABRAM,M1,M,13,3
Pavel FISCHER,M6,M,13,3
Erik KNAJFL,M1,M,13,2
Patrik NOVOTNÝ,M2,M,13,1
Alexandr AČ,M3,M,13,4
Vladimír HANDL,M3,M,13,1
Daniel HERMAN,M6,M,13,1
Michael ŽANTOVSKÝ,M5,M,13,3
Tomáš LERCH,M5,M,13,3
Tomáš HRNČÍŘ,M1,M,13,1
Martin RULÍK,M3,M,13,1
Vladimír DLOUHÝ,M5,M,13,1
Konference OSN,?,F,13,12
Matyáš KŘÍŽKOVSKÝ,M2,M,13,1
Jakub ŠTÁFEK,M2,M,13,1
Vladimír VLČEK,M5,M,13,1
Viktorie TENZEROVÁ,M5,F,13,3
Renata ALTOVÁ,M6,F,13,3
Zdeňka RYBOVÁ,M6,F,13,1
Jaroslav ZOULA,M1,M,13,4
Jaroslav HOLÍK,M6,M,13,2
Michal ŠNOBR,M5,M,13,3
Pavel KINDLMANN,M5,M,13,3
Petra KRMELOVÁ,M1,F,13,3
Nick ARCHER,M6,M,13,2
Jiří BĚHOUNEK,M6,M,13,3
Ondřej SOUKUP,M1,M,13,2
Ondřej GOLIS,M1,M,13,1
Helena DOHNALOVÁ,M1,F,13,4
Jakub KULHÁNEK,M6,M,13,7
Jan FOUSEK,M5,M,13,2
Jan HREŇO,M1,M,13,3
Ivan DAVID,M6,M,13,2
Zbyněk HRKAL,M3,M,13,1
Mark THOMPSON,M5,M,13,1
Martina JURIGOVÁ,M2,F,12,1
Ivana MALÁ,M1,F,12,6
Podle OSN,?,F,12,10
