type_final,stance,count
M2,S0,2
M2,S3,1
M2,S4,1
M2,S6,3
M3,S0,2
M3,S4,1
M3,S6,3
M5,S0,30
M5,S2,3
M5,S3,4
M5,S4,8
M5,S5,2
M5,S6,17
M6,S0,104
M6,S1,6
M6,S2,8
M6,S3,22
M6,S4,18
M6,S6,63
