topic,terms
0,"jako, myslím, třeba, toho, tomu, strany, velmi, předseda, možná, jestli, pane, opravdu, něco, místopředseda, máme, úplně, skutečně, znamená, lidé, nějaké"
1,"mluvčí, ukrajině, beey, ukrajiny, ruské, ukrajinu, jako, rusko, další, toho, mluvčí mluvčí, třeba, ukrajinské, české, velmi, mají, děti, ruská, před, lidí"
2,"biden, prezident, americký, obama, americký prezident, barack, barack obama, spojených, spojené státy, spojených států, státy, spojené, bílého domu, bílého, proti, obama americký, prezident biden, domu, států, prezidenta"
3,"evropské, unie, komise, evropské unie, evropské komise, evropská, premiér, bruselu, summit, evropské rady, parlamentu, předseda, babiš, rady, leyenová, andrej babiš, evropského, andrej, unii, lídři"
4,"životního prostředí, životního, prostředí, ministr životního, brabec, ministr, brabec ministr, místopředseda hnutí, prostředí místopředseda, místopředseda, hnutí, otázky životního, bedřich, moldan, bedřich moldan, opatření, otázky, centrum otázky, dneska, česká republika"
5,"trump, donald trump, donald, prezident, trumpa, dohody, americký, donalda trumpa, donalda, americký prezident, prezidenta, pařížské, trump americký, prezident donald, státy, spojené státy, spojených, bílého domu, bílého, spojené"
6,"guterres, generální tajemník, tajemník, generální, yorku, antónio, antónio guterres, klimatu, guterres generální, greta, změnám, thunbergová, summitu, proti, greta thunbergová, aktivistka, summit, klimatickým změnám, klimatickým, proti klimatickým"
7,"uhlí, energie, průmyslu, elektrárny, zdroje, zdrojů, obnovitelných, roku, elektřiny, elektráren, vláda, obnovitelných zdrojů, energetiky, průmyslu obchodu, uhelné, obnovitelné, jaderné, komise, energetiku, greenpeace"
8,"globální změny, výzkumu globální, výzkumu, ústav výzkumu, ústav, globální, změny, akademie, oxidu, uhličitého, oxidu uhličitého, vědecký pracovník, změny akademie, pracovník, vědecký, klimatu, vědci, opravdu, změny klimatu, ústavu výzkumu"
9,"meteorolog, počasí, teploty, klimatolog, třeba, čhmú, stupňů, sněhu, opravdu, toho, znamená, teplota, možná, bouřky, celsia, předpověď, poměrně, tolasz, srážek, řekněme"
10,"vody, vodu, voda, sucho, zemědělství, vodou, vodní, krajině, sucha, půdy, opatření, suchu, povodí, zemědělci, obce, vodních, města, nádrže, zemědělské, starosta"
11,"konference, plynů, skleníkových plynů, skleníkových, emisí, dohody, paříži, emisí skleníkových, dohoda, oteplování, změnách, státy, zemí, snižování, klimatických, pařížské, stupně, klimatické, snižování emisí, emise"
12,"lesy, lesů, lesa, kůrovec, ředitel, stromů, české, stromy, zemědělství, lesníci, republiky, lesní, dřeva, české republiky, lesy české, lesích, kůrovcem, generální ředitel, dříví, lesního"
13,"vědci, antarktidě, ledu, univerzity, expedice, druhů, vědců, univerzita, antarktidy, změny, česká televize, ledovce, vedoucí, polární, česká, televize, jako, klimatu, moře, stanice"
14,"požáry, oheň, požárů, plameny, lidí, hasiči, úřady, hasičů, austrálii, kalifornii, před, požár, austrálie, řecku, hoří, pomoc, obyvatel, pobřeží, rozsáhlé, lidé"
