topic,terms
0,"evropské, unie, komise, lukáš, lukáš dolanský, dolanský, evropské unie, předseda, premiér, evropská, evropské komise, bruselu, babiš, parlamentu, andrej babiš, evropské rady, andrej, leyenová, rady, strany"
1,"mluvčí, ukrajině, jako, beey, toho, třeba, ukrajiny, ruské, další, velmi, ukrajinu, myslím, rusko, české, tomu, mají, lidí, máme, lidé, před"
2,"prezident, americký, trump, americký prezident, biden, státy, klimatu, konference, donald trump, donald, dohody, spojené státy, spojené, summit, plynů, obama, summitu, proti, skleníkových plynů, skleníkových"
3,"hana scharffová, scharffová, hana, změny, vědci, třeba, jako, vody, barbora, klimatu, tomáš, ústav, globální, linda, linda bartošová, bartošová, výzkumu, před, globální změny, lidí"
4,"životního prostředí, životního, prostředí, ministr životního, brabec, richard brabec, richard, ministr, brabec ministr, brunclík, milan brunclík, milan, železný, jakub železný, opatření, místopředseda hnutí, místopředseda, jakub, zemědělství, vodu"
5,"martin, řezníček, martin řezníček, martin jonáš, jonáš, trump, jako, washington, donald trump, papež, donald, trumpa, washingtonu, prezidenta, myslím, před, toho, česká televize, česká, německo"
6,"jiří václavek, václavek, jiří, meteorolog, michal, michal meteorolog, třeba, toho, opravdu, možná, znamená, tomu, počasí, sněhu, jako, velmi, myslím, sucho, české, řekněme"
7,"václav, václav moravec, moravec, daniel, daniel takáč, takáč, jako, toho, václav černohorský, černohorský, myslím, české, tomu, předseda, třeba, strany, místopředseda, ředitel, znamená, pane"
8,"milada, mcgrathová, milada mcgrathová, scharffová, hana scharffová, hana, česká televize, televize, jezera, šponar, tomáš šponar, požáry, odpadu, prezident, auta, česká, vesmíru, katarína sedláčková, sedláčková, katarína"
9,"zuzana tvarůžková, tvarůžková, zuzana, třeba, myslím, jako, tomu, toho, velmi, možná, opravdu, petr, strany, úplně, michal, předseda, skutečně, ředitel, čaputová, jestli"
