year,Code,income,n_docs,n_mentions
2012,CZE,High income,37,37
2012,USA,High income,21,21
2012,GBR,High income,12,12
2012,CHN,Upper middle income,9,9
2012,DEU,High income,7,7
2012,FRA,High income,5,5
2012,IND,Lower middle income,5,5
2012,IRL,High income,5,5
2012,SVK,High income,5,5
2012,AUS,High income,4,4
2012,SWE,High income,4,4
2012,POL,High income,3,3
2012,RUS,Upper middle income,3,3
2012,DNK,High income,2,2
2012,GRC,High income,2,2
2012,GRL,High income,2,2
2012,ISR,High income,2,2
2012,JPN,High income,2,2
2012,QAT,High income,2,2
2012,TZA,Lower middle income,2,2
2012,AFG,Low income,1,1
2012,AGO,Lower middle income,1,1
2012,AUT,High income,1,1
2012,BLR,Upper middle income,1,1
2012,BRA,Upper middle income,1,1
2012,CAN,High income,1,1
2012,CHE,High income,1,1
2012,COD,Low income,1,1
2012,EGY,Lower middle income,1,1
2012,ESP,High income,1,1
2012,ETH,Low income,1,1
2012,IRN,Lower middle income,1,1
2012,ISL,High income,1,1
2012,ITA,High income,1,1
2012,MDA,Upper middle income,1,1
2012,MDV,Upper middle income,1,1
2012,NOR,High income,1,1
2012,NZL,High income,1,1
2012,PHL,Lower middle income,1,1
2012,PSE,Upper middle income,1,1
2012,SAU,High income,1,1
2012,SLE,Low income,1,1
2012,SOM,Low income,1,1
2012,SYR,Low income,1,1
2012,UKR,Lower middle income,1,1
2012,ZAF,Upper middle income,1,1
2013,CZE,High income,54,54
2013,USA,High income,26,26
2013,POL,High income,19,19
2013,DEU,High income,16,16
2013,FRA,High income,8,8
2013,GBR,High income,7,7
2013,RUS,Upper middle income,7,7
2013,SVK,High income,6,6
2013,AUT,High income,5,5
2013,CHN,Upper middle income,5,5
2013,AUS,High income,4,4
2013,SWE,High income,3,3
2013,AFG,Low income,2,2
2013,CAN,High income,2,2
2013,CHE,High income,2,2
2013,DNK,High income,2,2
2013,EGY,Lower middle income,2,2
2013,GRC,High income,2,2
2013,IND,Lower middle income,2,2
2013,JPN,High income,2,2
2013,PHL,Lower middle income,2,2
2013,ALB,Upper middle income,1,1
2013,BRA,Upper middle income,1,1
2013,CHL,High income,1,1
2013,COL,Upper middle income,1,1
2013,CRI,Upper middle income,1,1
2013,CYP,High income,1,1
2013,ESP,High income,1,1
2013,HRV,High income,1,1
2013,HUN,High income,1,1
2013,ISR,High income,1,1
2013,KIR,Lower middle income,1,1
2013,LKA,Lower middle income,1,1
2013,MDV,Upper middle income,1,1
2013,MLI,Low income,1,1
2013,MNG,Lower middle income,1,1
2013,NLD,High income,1,1
2013,NZL,High income,1,1
2013,PAK,Lower middle income,1,1
