article_id,year,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,dominant_topic
2012E026A074,2012,0.0,0.0,0.011620833992820377,0.0,0.013329969542179425,0.0,0.0028547121259461087,0.00011432410779619325,0.015377208155788104,0.06538063273528838,0.0376274961485172,0.01859632306944824,0.0,0.04072269361727564,0.006688692533614487,0.0,0.0,0.0,0.037893422165823726,0.0,0.0,0.008343762116641439,0.0,0.00791061355205035,0.0,9
2012E022A048,2012,0.013006207183642341,0.0007499799094077726,0.0,0.0688123140093579,0.0016175589559020024,0.005957569073423774,0.0,0.006547914795960897,0.0,0.018973930891674574,0.0,0.00012046502616100161,0.002604788634342758,0.0,0.0028581162619862976,0.005080982674654833,0.008866871876182026,0.0,0.0,0.012426770196438312,0.018823464810217468,0.0,0.0027105711712930264,0.0,0.004180763838020353,3
2012E014A004,2012,0.018024292087634678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010572203707330377,0.05690670366033412,0.00047474328991952135,0.0,0.012420047964385884,0.05795832856307314,0.0,0.0010923117554971422,0.0,0.0,0.031168293746810016,0.0,0.0,0.0,0.0,0.002728048269199296,0.0,13
2012E011A076,2012,0.006797037172297424,0.0014623790492203034,0.03153706109179354,0.0,0.0,0.002869779487459395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016843160134261136,0.010125336980116098,0.006294568605697301,0.0,0.0,0.0,0.0,0.06291463267668793,0.0,0.010174409411582997,0.0,0.0,20
2012E027T121,2012,0.0052175084956220695,0.0012408244880759303,0.0,0.0,0.005846435402090232,0.0,0.0,4.6378127071669405e-05,0.006350299576995118,0.0009393106656733383,0.025747376258030454,0.0,0.0,0.0030315492993960294,0.0,0.0,0.0,0.0,0.004525663418299372,0.059978029039945396,0.02346327373627055,0.03613670300627498,0.0,0.0,0.0,19
2012E021T030,2012,0.0,0.023902065943066812,0.0,0.0,0.002655983879995128,0.0,0.014518101885952681,0.0009124905014261555,0.0,0.0,0.09245446305286653,0.0,0.012328485145333521,0.0,0.0,0.0012068171862144627,0.004500230727317085,0.0,0.0,0.0,0.0355222214507992,0.00332477234493615,0.0,0.0,0.0,10
2012E017T099,2012,0.029895375573304833,0.00024740784755733345,0.00012703517678187555,0.0,0.0,0.0,0.0,0.030881618221253453,0.0009290357517999489,0.0174383291901526,0.016853221301222413,0.00019041835813916354,0.02639748985439224,0.001719459853252038,0.0,0.0,0.0,0.0024833792435020883,0.0,0.005388158602885486,0.006333549943572985,0.005171716411232336,0.00156723844871962,0.0,0.0,7
2012E042A004,2012,0.006340602559130394,0.0009523098347624222,0.0014040190914972024,0.0018312173593651479,0.0,0.002033292943802282,0.0,0.0,0.008799411070692594,0.03190749221555418,0.0,0.008190438934776978,0.0,0.001431028070488738,0.0016600519632258295,0.005761342959505544,0.006991628889576838,0.0010960705515171872,0.007764157135258601,0.0001593770223213413,0.02427794892129344,0.0036320595730922473,0.0002724556822951454,0.0,0.0021816575106053705,9
2012E039A068,2012,0.0004992598329785426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01572729833932167,0.0001693335521546323,0.0,0.16503932114002454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
2012E038A080,2012,0.0,2.1876889941618545e-05,0.0,0.036953698856577503,0.0,0.01631885811256316,0.0,9.509016434644987e-05,0.0,0.0006143296011136781,0.002066145824698382,0.010696291338907541,0.0004136304179322461,0.006394301730013247,0.003860411718673177,0.01871018791185847,0.012783728779032425,0.0,0.0,0.0,0.05546817765060248,0.0,0.0,0.000778428419408958,0.006928226494136767,20
