year,S1,S2,S3,S4,S5,S6
2012,1,5,2,2,4,25
2013,0,5,0,3,0,26
2014,2,1,6,3,0,43
2015,0,2,6,5,0,130
2016,3,2,2,7,0,115
2017,10,9,25,3,0,174
2018,2,4,13,3,1,135
2019,18,22,39,26,0,520
2020,7,10,15,14,0,195
2021,4,16,39,24,2,319
2022,1,1,1,5,0,46
