name,firstname,surname,role_raw,gender,type,n_mentions,n_docs,type_final,source,gender_final
Michala HERGETOVÁ,Michala,HERGETOVÁ,moderátorka,F,M1,135,12,M1,rule,F
Josef STŘEDULA,Josef,STŘEDULA,předseda,M,M6,135,8,M6,rule,M
Jan KOCOUREK,Jan,KOCOUREK,redaktor,M,M1,133,27,M1,rule,M
Jan ŠILHAN,Jan,ŠILHAN,redaktor,M,M1,129,26,M1,rule,M
Iva KUBANKOVÁ,Iva,KUBANKOVÁ,moderátorka,F,M1,127,34,M1,rule,F
Drahoslav RYBA,Drahoslav,RYBA,generální ředitel,M,M5,126,2,M5,rule,M
Linda BARTOŠOVÁ,Linda,BARTOŠOVÁ,redaktorka,F,M1,126,38,M1,rule,F
Jan PRETEL,Jan,PRETEL,klimatolog,M,M3,119,8,M3,rule,M
Tomáš HUDEČEK,Tomáš,HUDEČEK,primátor hl,M,M6,118,1,M6,rule,M
Vladimír DLOUHÝ,Vladimír,DLOUHÝ,prezident,M,M6,113,5,M6,rule,M
Michaela NOVÁKOVÁ,Michaela,NOVÁKOVÁ,moderátorka,F,M1,112,7,M1,rule,F
Oliver JAHN,Oliver,JAHN,redaktor,M,M1,112,29,M1,rule,M
Mark RIEDER,Mark,RIEDER,ředitel,M,M5,110,12,M5,rule,M
Josef VOJÁČEK,Josef,VOJÁČEK,generální ředitel,M,M5,110,6,M5,rule,M
Lukáš DOLANSKÝ,Lukáš,DOLANSKÝ,zpravodaj,M,M1,109,33,M1,rule,M
Dana DRÁBOVÁ,Dana,DRÁBOVÁ,předsedkyně,F,M6,107,8,M6,rule,F
Blanka ZÁVITKOVSKÁ,Blanka,ZÁVITKOVSKÁ,redaktorka,F,M1,106,27,M1,rule,F
Radim TOLASZ,Radim,TOLASZ,klimatolog,M,M3,105,16,M3,rule,M
Lubomír ZAORÁLEK,Lubomír,ZAORÁLEK,ministr zahraničí,M,M6,105,10,M6,rule,M
Martin JONÁŠ,Martin,JONÁŠ,zpravodaj,M,M1,104,26,M1,rule,M
Jaroslav MÍL,Jaroslav,MÍL,vládní zmocněnec pro jadernou energetiku,M,M6,100,5,M6,rule,M
Barbora MAXOVÁ,Barbora,MAXOVÁ,redaktorka,F,M1,99,19,M1,rule,F
David MIŘEJOVSKÝ,David,MIŘEJOVSKÝ,zpravodaj,M,M1,98,31,M1,rule,M
Jaroslav KUBERA,Jaroslav,KUBERA,místopředseda,M,M6,91,3,M6,rule,M
Bedřich MOLDAN,Bedřich,MOLDAN,zástupce ředitele,M,M5,90,11,M5,rule,M
Klára BAZALOVÁ,Klára,BAZALOVÁ,moderátorka,F,M1,90,6,M1,rule,F
Miloš VYSTRČIL,Miloš,VYSTRČIL,předseda,M,M6,90,7,M6,rule,M
Jaroslav FALTÝNEK,Jaroslav,FALTÝNEK,předseda zemědělského výboru,M,M6,88,2,M6,rule,M
Alena SCHILLEROVÁ,Alena,SCHILLEROVÁ,lídryně kandidátky,F,M6,86,1,M6,rule,F
Michal BĚLKA,Michal,BĚLKA,redaktor,M,M1,85,19,M1,rule,M
Luděk NIEDERMAYER,Luděk,NIEDERMAYER,europoslanec,M,M6,84,6,M6,rule,M
Zdeněk SKOKAN,Zdeněk,SKOKAN,redaktor,M,M1,83,11,M1,rule,M
Ivo MATHÉ,Ivo,MATHÉ,bývalý vedoucí,M,M5,82,1,M5,rule,M
Bohumil VOSTAL,Bohumil,VOSTAL,zpravodaj,M,M1,82,27,M1,rule,M
Mikuláš PEKSA,Mikuláš,PEKSA,europoslanec,M,M6,80,10,M6,rule,M
Taťána MÍKOVÁ,Taťána,MÍKOVÁ,meteoroložka,F,M3,79,18,M3,rule,F
Pavel ŠIMEK,Pavel,ŠIMEK,redaktor,M,M1,79,15,M1,rule,M
Ivana ŠMELOVÁ,Ivana,ŠMELOVÁ,moderátorka,F,M1,78,26,M1,rule,F
Ivan BARTOŠ,Ivan,BARTOŠ,předseda strany,M,M6,77,14,M6,rule,M
Pavel KOVÁČIK,Pavel,KOVÁČIK,předseda poslaneckého klubu,M,M6,77,8,M6,rule,M
Radek VONDRÁČEK,Radek,VONDRÁČEK,předseda,M,M6,77,8,M6,rule,M
Václav ČERNOHORSKÝ,Václav,ČERNOHORSKÝ,zpravodaj,M,M1,76,17,M1,rule,M
Peter SINGER,Peter,SINGER,filozof efektivní altruista,M,M3,76,1,M3,rule,M
Václav ČERNOHORSKÝ,Václav,ČERNOHORSKÝ,redaktor,M,M1,76,21,M1,rule,M
Lukáš DOLANSKÝ,Lukáš,DOLANSKÝ,redaktor,M,M1,74,23,M1,rule,M
Martin PÝCHA,Martin,PÝCHA,předseda,M,M6,74,8,M6,rule,M
Václav CÍLEK,Václav,CÍLEK,geolog,M,M3,74,5,M3,rule,M
Bohumil VOSTAL,Bohumil,VOSTAL,redaktor,M,M1,74,23,M1,rule,M
Alena ZÁRYBNICKÁ,Alena,ZÁRYBNICKÁ,moderátorka,F,M1,74,12,M1,rule,F
Jana BÍLEK MAREČKOVÁ,Jana,BÍLEK MAREČKOVÁ,moderátorka,F,M1,73,61,M1,rule,F
Robert FULGHUM,Robert,FULGHUM,americký spisovatel,M,M5,72,1,M5,rule,M
Donald TRUMP,Donald,TRUMP,americký prezident,M,M6,72,59,M6,rule,M
Barack OBAMA,Barack,OBAMA,americký prezident,M,M6,71,51,M6,rule,M
Tereza KRUČINSKÁ,Tereza,KRUČINSKÁ,moderátorka,F,M1,71,48,M1,rule,F
Ondřej NEKOLA,Ondřej,NEKOLA,redaktor,M,M1,71,14,M1,rule,M
Petr FIALA,Petr,FIALA,předseda strany kandidát koalice,M,M6,70,1,M6,rule,M
Michal ŽÁK,Michal,ŽÁK,klimatolog meteorolog,M,M3,70,12,M3,rule,M
Radek MÁTL,Radek,MÁTL,generální ředitel,M,M5,70,2,M5,rule,M
Miroslav ŠEVČÍK,Miroslav,ŠEVČÍK,děkan,M,M5,69,1,M5,rule,M
Václav BARTUŠKA,Václav,BARTUŠKA,zvláštní velvyslanec pro energetickou bezpečnost,M,M6,69,1,M6,rule,M
Angela MERKELOVÁ,Angela,MERKELOVÁ,německá kancléřka,F,M6,69,58,M6,rule,F
Petr ZAVADIL,Petr,ZAVADIL,redaktor,M,M1,68,14,M1,rule,M
Tomáš ŠPONAR,Tomáš,ŠPONAR,redaktor,M,M1,68,14,M1,rule,M
Marian JUREČKA,Marian,JUREČKA,předseda strany,M,M6,68,10,M6,rule,M
Radovan DANĚK,Radovan,DANĚK,redaktor,M,M1,68,17,M1,rule,M
Zdeněk VELÍŠEK,Zdeněk,VELÍŠEK,komentátor,M,M1,67,15,M1,rule,M
Antonín PRACHAŘ,Antonín,PRACHAŘ,ministr dopravy,M,M6,67,1,M6,rule,M
Martin ŘEZNÍČEK,Martin,ŘEZNÍČEK,zpravodaj,M,M1,66,19,M1,rule,M
Tereza STÁRKOVÁ,Tereza,STÁRKOVÁ,redaktorka,F,M1,66,10,M1,rule,F
Václav BARTUŠKA,Václav,BARTUŠKA,zvláštní zmocněnec pro energetickou bezpečnost,M,M6,66,1,M6,rule,M
Marie ŠABACKÁ,Marie,ŠABACKÁ,polární bioložka,F,M3,66,2,M3,rule,F
Martin JONÁŠ,Martin,JONÁŠ,redaktor,M,M1,66,20,M1,rule,M
Barbora ŠÁMALOVÁ,Barbora,ŠÁMALOVÁ,redaktorka,F,M1,65,20,M1,rule,F
Jan MRKVIČKA,Jan,MRKVIČKA,ředitel humanitární a rozvojové sekce,M,M5,65,1,M5,rule,M
Ondřej TOPINKA,Ondřej,TOPINKA,moderátor,M,M1,65,63,M1,rule,M
Tereza BERNARDOVÁ,Tereza,BERNARDOVÁ,místopředsedkyně,F,M6,64,1,M6,rule,F
Eva PLÁNIČKOVÁ,Eva,PLÁNIČKOVÁ,moderátorka,F,M1,64,2,M1,rule,F
Jaroslav BŽOCH,Jaroslav,BŽOCH,místopředseda zahraničního výboru,M,M6,63,2,M6,rule,M
Jane GOODALLOVÁ,Jane,GOODALLOVÁ,britská primatoložka,F,?,62,2,M3,llm,F
Veronika GECOVÁ,Veronika,GECOVÁ,redaktorka,F,M1,61,13,M1,rule,F
Josef MICHL,Josef,MICHL,chemik nejcitovanější vědec českého původu,M,M3,61,1,M3,rule,M
Martin TYBUREC,Martin,TYBUREC,redaktor,M,M1,61,15,M1,rule,M
António GUTERRES,António,GUTERRES,generální tajemník,M,M6,61,56,M6,rule,M
Klára DOSTÁLOVÁ,Klára,DOSTÁLOVÁ,lídryně kandidátky,F,M6,60,1,M6,rule,F
Bedřich MOLDAN,Bedřich,MOLDAN,ředitel,M,M5,60,4,M5,rule,M
Jiří KOBZA,Jiří,KOBZA,místopředseda zahraničního výboru,M,M6,60,2,M6,rule,M
Marek SLAVÍK,Marek,SLAVÍK,redaktor,M,M1,59,13,M1,rule,M
Barbora ŽÍTKOVÁ,Barbora,ŽÍTKOVÁ,redaktorka,F,M1,58,10,M1,rule,F
Karel HAVLÍČEK,Karel,HAVLÍČEK,místopředseda poslaneckého klubu exministr dopravy,M,M6,58,1,M6,rule,M
Martin HÁJEK,Martin,HÁJEK,ředitel,M,M5,57,1,M5,rule,M
Alexandr MITROFANOV,Alexandr,MITROFANOV,novinář a komentátor,M,M1,57,1,M1,rule,M
Jan DAŇHELKA,Jan,DAŇHELKA,hydrolog náměstek ředitele pro hydrologii,M,M3,56,2,M3,rule,M
Zuzana PETRŮ,Zuzana,PETRŮ,moderátorka,?,M1,56,19,M1,rule,F
Petr VAŠEK,Petr,VAŠEK,redaktor,M,M1,56,7,M1,rule,M
Věra JOUROVÁ,Věra,JOUROVÁ,komisařka pro hodnoty a transparentnost,F,M6,55,1,M6,rule,F
Jan ŠMÍD,Jan,ŠMÍD,zpravodaj,M,M1,55,18,M1,rule,M
Petr SKLENIČKA,Petr,SKLENIČKA,rektor,M,M5,54,6,M5,rule,M
Veronika HEŠÍKOVÁ,Veronika,HEŠÍKOVÁ,redaktorka,F,M1,54,12,M1,rule,F
Andreas PAPADOPULOS,Andreas,PAPADOPULOS,redaktor,M,M1,54,13,M1,rule,M
Martin PŮTA,Martin,PŮTA,hejtman,M,M6,54,7,M6,rule,M
Miroslav BÁRTA,Miroslav,BÁRTA,egyptolog,M,M3,54,3,M3,rule,M
Pavel KOVÁČIK,Pavel,KOVÁČIK,místopředseda zemědělského výboru stínový ministr,M,M6,54,1,M6,rule,M
Marian JUREČKA,Marian,JUREČKA,první místopředseda strany bývalý ministr,M,M6,53,1,M6,rule,M
Martin JONÁŠ,Martin,JONÁŠ,moderátor,M,M1,52,22,M1,rule,M
Andrej BABIŠ,Andrej,BABIŠ,premiér předseda hnutí,M,M6,52,43,M6,rule,M
Jan ŘÁPEK,Jan,ŘÁPEK,redaktor,M,M1,52,12,M1,rule,M
Miroslav TRNKA,Miroslav,TRNKA,bioklimatolog,M,M3,52,6,M3,rule,M
Šádí SHANAÁH,Šádí,SHANAÁH,odborník na islám,M,M3,52,1,M3,rule,M
Lucie KŘÍŽKOVÁ,Lucie,KŘÍŽKOVÁ,redaktorka,F,M1,51,15,M1,rule,F
Jaroslav KUBERA,Jaroslav,KUBERA,předseda senátního klubu,M,M6,51,1,M6,rule,M
Marian JUREČKA,Marian,JUREČKA,předseda strany poslanec,M,M6,50,4,M6,rule,M
Pavel MERTLÍK,Pavel,MERTLÍK,rektor,M,M5,50,2,M5,rule,M
Jan ZAHRADNÍK,Jan,ZAHRADNÍK,poslanec,M,M6,50,8,M6,rule,M
Jan FROUZ,Jan,FROUZ,ředitel,M,M5,50,6,M5,rule,M
Jan BARTOŠEK,Jan,BARTOŠEK,místopředseda sněmovny místopředseda strany,M,M6,49,1,M6,rule,M
Marian JUREČKA,Marian,JUREČKA,lídr kandidátky,M,M6,49,1,M6,rule,M
Jan HAMÁČEK,Jan,HAMÁČEK,lídr kandidátky,M,M6,49,1,M6,rule,M
Markéta GREGOROVÁ,Markéta,GREGOROVÁ,poslankyně,F,M6,49,1,M6,rule,F
Václav ČERNOHORSKÝ,Václav,ČERNOHORSKÝ,moderátor,M,M1,48,11,M1,rule,M
Jan ZAHRADNÍK,Jan,ZAHRADNÍK,místopředseda poslaneckého klubu expert strany,M,M6,47,3,M6,rule,M
Ladislav OKLEŠTĚK,Ladislav,OKLEŠTĚK,lídr kandidátky,M,M6,47,1,M6,rule,M
Dana BALCAROVÁ,Dana,BALCAROVÁ,předsedkyně výboru pro životní prostředí,F,M6,47,6,M6,rule,F
Jakub NETTL,Jakub,NETTL,redaktor,M,M1,47,11,M1,rule,M
Kateřina ETRYCHOVÁ,Kateřina,ETRYCHOVÁ,redaktorka,F,M1,47,10,M1,rule,F
Petr FIALA,Petr,FIALA,lídr kandidátky,M,M6,47,1,M6,rule,M
Ivan PILNÝ,Ivan,PILNÝ,ministr financí poslanec,M,M6,46,1,M6,rule,M
Mikuláš PEKSA,Mikuláš,PEKSA,poslanec,M,M6,46,1,M6,rule,M
Aleš CHMELAŘ,Aleš,CHMELAŘ,náměstek ministra zahraničních věcí,M,M5,46,2,M5,rule,M
Pavel ZAHRADNÍČEK,Pavel,ZAHRADNÍČEK,klimatolog,M,M3,46,12,M3,rule,M
Bohuslav SOBOTKA,Bohuslav,SOBOTKA,premiér předseda strany,M,M6,46,7,M6,rule,M
Petra TUHÁČKOVÁ,Petra,TUHÁČKOVÁ,moderátorka,F,M1,46,43,M1,rule,F
Petr GAZDÍK,Petr,GAZDÍK,místopředseda,M,M6,45,4,M6,rule,M
Magda FALTOVÁ,Magda,FALTOVÁ,ředitelka,F,M5,45,1,M5,rule,F
Pavel PROŠEK,Pavel,PROŠEK,zakladatel,M,M5,45,1,M5,rule,M
Roman ONDERKA,Roman,ONDERKA,lídr kandidátky,M,M6,45,1,M6,rule,M
Tomáš VZOREK,Tomáš,VZOREK,moderátor,M,M1,45,14,M1,rule,M
Jana MAREČKOVÁ,Jana,MAREČKOVÁ,moderátorka,F,M1,45,44,M1,rule,F
Štěpánka MARTANOVÁ,Štěpánka,MARTANOVÁ,redaktorka,F,M1,44,8,M1,rule,F
Jakub VÁCHA,Jakub,VÁCHA,moderátor,M,M1,44,15,M1,rule,M
Radim FIALA,Radim,FIALA,lídr kandidátky,M,M6,44,1,M6,rule,M
Daniel SZÓRÁD,Daniel,SZÓRÁD,generální ředitel,M,M5,44,7,M5,rule,M
Lubomír ZAORÁLEK,Lubomír,ZAORÁLEK,místopředseda strany ministr zahraničních věcí,M,M6,44,1,M6,rule,M
Lukáš MATHÉ,Lukáš,MATHÉ,zpravodaj,M,M1,43,14,M1,rule,M
Jan FARSKÝ,Jan,FARSKÝ,předseda poslaneckého klubu,M,M6,43,3,M6,rule,M
Joe BIDEN,Joe,BIDEN,americký prezident,F?,M6,43,35,M6,rule,M
David MIŘEJOVSKÝ,David,MIŘEJOVSKÝ,redaktor,M,M1,43,15,M1,rule,M
Jiří GRYGAR,Jiří,GRYGAR,astronom,M,M3,43,1,M3,rule,M
Zuzana TUNOVÁ,Zuzana,TUNOVÁ,redaktorka,F,M1,42,3,M1,rule,F
Mikuláš BEK,Mikuláš,BEK,navržený ministr pro evropské záležitosti,M,M6,42,1,M6,rule,M
Donald TRUMP,Donald,TRUMP,prezident,M,M6,42,23,M6,rule,M
Markéta RADOVÁ,Markéta,RADOVÁ,redaktorka,F,M1,42,7,M1,rule,F
Tomáš PROUZA,Tomáš,PROUZA,prezident,M,M6,42,1,M6,rule,M
Pavel BĚLOBRÁDEK,Pavel,BĚLOBRÁDEK,místopředseda vlády předseda strany,M,M6,42,2,M6,rule,M
Daniel BENEŠ,Daniel,BENEŠ,generální ředitel předseda představenstva,M,M5,42,1,M5,rule,M
Daniel BENEŠ,Daniel,BENEŠ,generální ředitel,M,M5,42,4,M5,rule,M
Jan MAJÍČEK,Jan,MAJÍČEK,lídr kandidátky,M,M6,41,1,M6,rule,M
Hana SCHARFFOVÁ,Hana,SCHARFFOVÁ,redaktorka,F,M1,41,13,M1,rule,F
Miloš ZEMAN,Miloš,ZEMAN,prezident republiky,M,M6,40,14,M6,rule,M
Jan ŠVEJNAR,Jan,ŠVEJNAR,ekonom ředitel,M,M5,40,1,M5,rule,M
Lubomír ZAORÁLEK,Lubomír,ZAORÁLEK,ministr zahraničí v demisi místopředseda,M,M6,40,1,M6,rule,M
Jaroslav BAŠTA,Jaroslav,BAŠTA,lídr kandidátky,M,M6,39,1,M6,rule,M
Alexander AČ,Alexander,AČ,vědecký pracovník,M,M3,39,4,M3,rule,M
Barbora ŠÁMALOVÁ,Barbora,ŠÁMALOVÁ,zpravodajka,F,M1,39,13,M1,rule,F
Vladimír PISKALA,Vladimír,PISKALA,redaktor,M,M1,39,8,M1,rule,M
Nikola TENEVOVÁ,Nikola,TENEVOVÁ,redaktorka,F,M1,39,9,M1,rule,F
Senátu PČR,Senátu,PČR,místopředseda strany,M,M6,38,1,M6,rule,M
Jan BERÁNEK,Jan,BERÁNEK,redaktor,M,M1,38,7,M1,rule,M
Vojtěch FILIP,Vojtěch,FILIP,místopředseda,M,M6,38,3,M6,rule,M
Martin LAŠTŮVKA,Martin,LAŠTŮVKA,redaktor,M,M1,38,8,M1,rule,M
Milan KŘÍSTEK,Milan,KŘÍSTEK,generální ředitel,M,M5,38,1,M5,rule,M
Ludvík ŠULDA,Ludvík,ŠULDA,lídr kandidátky,M,M6,38,1,M6,rule,M
Josef KVASNIČKA,Josef,KVASNIČKA,redaktor,M,M1,38,10,M1,rule,M
Václav CÍLEK,Václav,CÍLEK,geolog klimatolog,M,M3,38,3,M3,rule,M
Petr VALEČKO,Petr,VALEČKO,redaktor,M,M1,37,9,M1,rule,M
Tomáš CHALUPA,Tomáš,CHALUPA,ministr životního prostředí,M,M6,37,2,M6,rule,M
Miloš ČAPEK,Miloš,ČAPEK,starosta,M,M6,37,1,M6,rule,M
Richard BRABEC,Richard,BRABEC,vicepremiér ministr životního prostředí,M,M6,37,4,M6,rule,M
Petr HORKÝ,Petr,HORKÝ,cestovatel režisér,M,M5,37,1,M5,rule,M
Richard BRABEC,Richard,BRABEC,ministr životního prostředí poslanec,M,M6,37,3,M6,rule,M
Ivo POJEZNÝ,Ivo,POJEZNÝ,lídr kandidátky,M,M6,37,1,M6,rule,M
Bohuslav SOBOTKA,Bohuslav,SOBOTKA,premiér,M,M6,37,31,M6,rule,M
Der LEYENOVÁ,Der,LEYENOVÁ,předsedkyně,F,M6,37,27,M6,rule,F
Alexandr VONDRA,Alexandr,VONDRA,bývalý ministr obrany a zahraničí,M,M6,37,3,M6,rule,M
Libor ROUČEK,Libor,ROUČEK,bývalý místopředseda,M,M6,36,2,M6,rule,M
Karel HAVLÍČEK,Karel,HAVLÍČEK,ministr průmyslu a obchodu za,M,M6,36,3,M6,rule,M
Alexandr VONDRA,Alexandr,VONDRA,europoslanec,M,M6,36,4,M6,rule,M
Michael ROMANCOV,Michael,ROMANCOV,politický geograf,M,M3,36,8,M3,rule,M
Jan BERÁNEK,Jan,BERÁNEK,manažer organizačního rozvoje,M,M5,36,1,M5,rule,M
Adolf ŠLÁR,Adolf,ŠLÁR,praktikuje očistné kúry učitel z,M,?,36,1,M4,llm,M
Martin MIKULE,Martin,MIKULE,redaktor,M,M1,36,4,M1,rule,M
Jaroslav BAŠTA,Jaroslav,BAŠTA,bývalý velvyslanec v,M,M6,36,2,M6,rule,M
Jan PIŇOS,Jan,PIŇOS,koordinátor dobrovolníků na,M,M5,36,1,M5,rule,M
Pavel TELIČKA,Pavel,TELIČKA,místopředseda,M,M6,36,1,M6,rule,M
Danuše NERUDOVÁ,Danuše,NERUDOVÁ,předsedkyně,F,M6,36,1,M6,rule,F
Filip ČERNÝ,Filip,ČERNÝ,moderátor,M,M1,36,1,M1,rule,M
Vilma PARTYKOVÁ,Vilma,PARTYKOVÁ,propaguje hladovku a léčbu urinoterapií,F,?,35,1,M4,llm,F
Petr HONZEJK,Petr,HONZEJK,komentátor,M,M1,35,3,M1,rule,M
Vendula HORNÍKOVÁ,Vendula,HORNÍKOVÁ,moderátorka,F,M1,35,2,M1,rule,F
Jeffrey SACHS,Jeffrey,SACHS,ekonom,M,M5,35,1,M5,rule,M
Martin TOLAR,Martin,TOLAR,neurolog,M,M3,35,2,M3,rule,M
Kateřina POLÁKOVÁ,Kateřina,POLÁKOVÁ,redaktorka,F,M1,35,7,M1,rule,F
Zdeněk HŘIB,Zdeněk,HŘIB,primátor hl,M,M6,35,7,M6,rule,M
David KASAL,David,KASAL,lídr kandidátky,M,M6,35,1,M6,rule,M
Martin BURSÍK,Martin,BURSÍK,bývalý ministr životního prostředí,M,M6,35,6,M6,rule,M
Zdeněk ONDRÁČEK,Zdeněk,ONDRÁČEK,lídr kandidátky,M,M6,35,1,M6,rule,M
Jakub MICHÁLEK,Jakub,MICHÁLEK,předseda poslaneckého klubu,M,M6,35,2,M6,rule,M
Luděk NIEDERMAYER,Luděk,NIEDERMAYER,poslanec,M,M6,34,3,M6,rule,M
Daniel PROKOP,Daniel,PROKOP,sociolog zakladatel,M,M3,34,1,M3,rule,M
Daniel PROKOP,Daniel,PROKOP,sociolog,M,M3,34,2,M3,rule,M
Emmanuel MACRON,Emmanuel,MACRON,francouzský prezident,M,M6,34,34,M6,rule,M
Heřman ČADIL,Heřman,ČADIL,kouč zdravého životního stylu,M,M5,34,1,M5,rule,M
Robert PLAGA,Robert,PLAGA,ministr školství mládeže a tělovýchovy,M,M6,34,1,M6,rule,M
Pavel KOHOUT,Pavel,KOHOUT,primář interního oddělení a vedoucí,M,M3,34,1,M3,rule,M
Pavel ZÁMYSLICKÝ,Pavel,ZÁMYSLICKÝ,ředitel odboru energetiky a ochrany,M,M5,33,5,M5,rule,M
Jiří MILEK,Jiří,MILEK,ministr zemědělství v demisi nestr,M,M6,33,2,M6,rule,M
Ivan GABAL,Ivan,GABAL,sociolog,M,M3,33,1,M3,rule,M
Denisa KOTKOVÁ,Denisa,KOTKOVÁ,redaktorka,F,M1,33,6,M1,rule,F
Petr HAVEL,Petr,HAVEL,agrární analytik,M,M5,33,3,M5,rule,M
Ivan PILIP,Ivan,PILIP,ekonom exministr financí a školství,M,M5,33,1,M5,rule,M
Jan ZAHRADIL,Jan,ZAHRADIL,poslanec,M,M6,33,4,M6,rule,M
Miloš VYSTRČIL,Miloš,VYSTRČIL,nový předseda,M,M6,33,1,M6,rule,M
Václav KLAUS,Václav,KLAUS,bývalý prezident,M,M6,33,5,M6,rule,M
Ondřej KOLÁŘ,Ondřej,KOLÁŘ,starosta městské části,M,M6,33,3,M6,rule,M
Jan MLÁDEK,Jan,MLÁDEK,ministr průmyslu a obchodu,M,M6,33,5,M6,rule,M
Katarína SEDLÁČKOVÁ,Katarína,SEDLÁČKOVÁ,moderátorka,F,M1,33,11,M1,rule,F
Jan HRNČÍŘ,Jan,HRNČÍŘ,lídr kandidátky,M,M6,32,1,M6,rule,M
Petr KUBALA,Petr,KUBALA,generální ředitel,M,M5,32,2,M5,rule,M
Marek TURČÁNI,Marek,TURČÁNI,děkan,M,M5,32,7,M5,rule,M
Andrej BABIŠ,Andrej,BABIŠ,premiér a předseda hnutí,M,M6,32,11,M6,rule,M
David STORCH,David,STORCH,biolog evoluční ekolog,M,M3,32,1,M3,rule,M
Zdeněk JANDEJSEK,Zdeněk,JANDEJSEK,prezident,M,M6,32,5,M6,rule,M
Drahoslav RYBA,Drahoslav,RYBA,ředitel,M,M5,32,1,M5,rule,M
