name,firstname,surname,role_raw,gender,type,n_mentions,n_docs,type_final,source,gender_final
Václav MORAVEC,Václav,MORAVEC,moderátor,M,M1,2366,65,M1,rule,M
Daniel TAKÁČ,Daniel,TAKÁČ,moderátor,M,M1,2066,93,M1,rule,M
Zuzana TVARŮŽKOVÁ,Zuzana,TVARŮŽKOVÁ,moderátorka,F,M1,1802,81,M1,rule,F
Jiří VÁCLAVEK,Jiří,VÁCLAVEK,moderátor,M,M1,1583,126,M1,rule,M
Jakub ŽELEZNÝ,Jakub,ŽELEZNÝ,moderátor,M,M1,1477,149,M1,rule,M
Světlana WITOWSKÁ,Světlana,WITOWSKÁ,moderátorka,F,M1,1238,108,M1,rule,F
Lukáš DOLANSKÝ,Lukáš,DOLANSKÝ,moderátor,M,M1,1135,32,M1,rule,M
Michaela JÍLKOVÁ,Michaela,JÍLKOVÁ,moderátorka,F,M1,1019,11,M1,rule,F
Tomáš DRAHOŇOVSKÝ,Tomáš,DRAHOŇOVSKÝ,moderátor,M,M1,832,109,M1,rule,M
Daniel STACH,Daniel,STACH,moderátor,M,M1,782,14,M1,rule,M
Michal KUBAL,Michal,KUBAL,moderátor,M,M1,732,131,M1,rule,M
David BOREK,David,BOREK,moderátor,M,M1,708,42,M1,rule,M
Martin ŘEZNÍČEK,Martin,ŘEZNÍČEK,moderátor,M,M1,657,92,M1,rule,M
Daniela PÍSAŘOVICOVÁ,Daniela,PÍSAŘOVICOVÁ,moderátorka,F,M1,626,109,M1,rule,F
Marcela AUGUSTOVÁ,Marcela,AUGUSTOVÁ,moderátorka,F,M1,610,127,M1,rule,F
Hana SCHARFFOVÁ,Hana,SCHARFFOVÁ,moderátorka,F,M1,586,180,M1,rule,F
Richard BRABEC,Richard,BRABEC,ministr životního prostředí,M,M6,496,97,M6,rule,M
Bohumil KLEPETKO,Bohumil,KLEPETKO,moderátor,M,M1,481,38,M1,rule,M
Barbora KROUŽKOVÁ,Barbora,KROUŽKOVÁ,moderátorka,F,M1,444,36,M1,rule,F
Jana PEROUTKOVÁ,Jana,PEROUTKOVÁ,moderátorka,F,M1,394,86,M1,rule,F
Linda BARTOŠOVÁ,Linda,BARTOŠOVÁ,moderátorka,F,M1,347,83,M1,rule,F
Tereza ŘEZNÍČKOVÁ,Tereza,ŘEZNÍČKOVÁ,moderátorka,F,M1,337,6,M1,rule,F
Josef ELSTER,Josef,ELSTER,vedoucí,M,M5,314,5,M5,rule,M
Roman FOJTA,Roman,FOJTA,moderátor,M,M1,309,180,M1,rule,M
Michal ŽÁK,Michal,ŽÁK,meteorolog,M,M3,301,47,M3,rule,M
Martin ŘEZNÍČEK,Martin,ŘEZNÍČEK,redaktor,M,M1,277,53,M1,rule,M
Milada MCGRATHOVÁ,Milada,MCGRATHOVÁ,redaktorka,F,M1,265,58,M1,rule,F
Richard BRABEC,Richard,BRABEC,ministr životního prostředí místopředseda hnutí,M,M6,244,13,M6,rule,M
Tomáš ŠPONAR,Tomáš,ŠPONAR,moderátor,M,M1,227,90,M1,rule,M
Milan BRUNCLÍK,Milan,BRUNCLÍK,redaktor,M,M1,205,38,M1,rule,M
Andrej BABIŠ,Andrej,BABIŠ,premiér,M,M6,192,50,M6,rule,M
Jakub SZÁNTÓ,Jakub,SZÁNTÓ,moderátor,M,M1,186,84,M1,rule,M
Pavel KARAS,Pavel,KARAS,meteorolog,M,M3,169,10,M3,rule,M
Daniela DRTINOVÁ,Daniela,DRTINOVÁ,moderátorka,F,M1,154,7,M1,rule,F
Jan ROVENSKÝ,Jan,ROVENSKÝ,vedoucí energetické kampaně,M,M5,147,4,M5,rule,M
Dana ZLATOHLÁVKOVÁ,Dana,ZLATOHLÁVKOVÁ,redaktorka,F,M1,142,33,M1,rule,F
Alexander TOMSKÝ,Alexander,TOMSKÝ,politolog nakladatel publicista,M,M3,140,1,M3,rule,M
Marian JUREČKA,Marian,JUREČKA,ministr zemědělství,M,M6,139,19,M6,rule,M
Dana ZLATOHLÁVKOVÁ,Dana,ZLATOHLÁVKOVÁ,moderátorka,F,M1,139,49,M1,rule,F
Katarína SEDLÁČKOVÁ,Katarína,SEDLÁČKOVÁ,redaktorka,F,M1,138,29,M1,rule,F
Miroslav TOMAN,Miroslav,TOMAN,ministr zemědělství nestr,M,M6,137,15,M6,rule,M
