year,Code,income,n_docs,n_mentions
2012,CZE,High income,327,327
2012,DEU,High income,36,36
2012,SVK,High income,20,20
2012,USA,High income,18,18
2012,ESP,High income,14,14
2012,GBR,High income,14,14
2012,ROU,High income,12,12
2012,POL,High income,11,11
2012,AUT,High income,10,10
2012,CHE,High income,9,9
2012,GRC,High income,9,9
2012,ITA,High income,8,8
2012,RUS,Upper middle income,8,8
2012,FRA,High income,7,7
2012,CHN,Upper middle income,6,6
2012,HUN,High income,6,6
2012,PRT,High income,5,5
2012,AUS,High income,4,4
2012,IRL,High income,4,4
2012,SWE,High income,4,4
2012,BGR,Upper middle income,3,3
2012,CUB,Upper middle income,3,3
2012,TUR,Upper middle income,3,3
2012,ARG,Upper middle income,2,2
2012,BEL,High income,2,2
2012,BLR,Upper middle income,2,2
2012,GEO,Upper middle income,2,2
2012,IND,Lower middle income,2,2
2012,JPN,High income,2,2
2012,NOR,High income,2,2
2012,AFG,Low income,1,1
2012,ALB,Upper middle income,1,1
2012,COD,Low income,1,1
2012,DNK,High income,1,1
2012,EGY,Lower middle income,1,1
2012,FIN,High income,1,1
2012,HTI,Lower middle income,1,1
2012,ISL,High income,1,1
2012,KOR,High income,1,1
2012,LBN,Lower middle income,1,1
2012,NGA,Lower middle income,1,1
2012,NZL,High income,1,1
2012,PAK,Lower middle income,1,1
2012,PER,Upper middle income,1,1
2012,PRK,Low income,1,1
2012,SOM,Low income,1,1
2012,SRB,Upper middle income,1,1
2012,TWN,High income,1,1
2012,YEM,Low income,1,1
2012,ZAF,Upper middle income,1,1
2013,CZE,High income,263,263
2013,DEU,High income,25,25
2013,SVK,High income,16,16
2013,AUT,High income,9,9
2013,CUB,Upper middle income,9,9
2013,POL,High income,9,9
2013,CHE,High income,8,8
2013,GRC,High income,8,8
2013,FRA,High income,7,7
2013,RUS,Upper middle income,7,7
2013,USA,High income,7,7
2013,ESP,High income,6,6
2013,GBR,High income,4,4
2013,IND,Lower middle income,4,4
2013,ROU,High income,4,4
2013,HUN,High income,3,3
2013,ITA,High income,3,3
2013,SWE,High income,3,3
2013,BEL,High income,2,2
2013,BGR,Upper middle income,2,2
2013,BLZ,Upper middle income,2,2
2013,CYP,High income,2,2
2013,HRV,High income,2,2
2013,IRL,High income,2,2
2013,ISR,High income,2,2
2013,AUS,High income,1,1
2013,CHN,Upper middle income,1,1
2013,COD,Low income,1,1
2013,DMA,Upper middle income,1,1
2013,DNK,High income,1,1
2013,ETH,Low income,1,1
2013,FIN,High income,1,1
2013,GEO,Upper middle income,1,1
2013,IRN,Lower middle income,1,1
2013,JPN,High income,1,1
2013,KAZ,Upper middle income,1,1
2013,LIE,High income,1,1
2013,LUX,High income,1,1
2013,NLD,High income,1,1
2013,NOR,High income,1,1
2013,PHL,Lower middle income,1,1
2013,PSE,Upper middle income,1,1
2013,TUR,Upper middle income,1,1
2013,VEN,Unknown,1,1
2014,CZE,High income,279,279
2014,DEU,High income,35,35
2014,SVK,High income,20,20
2014,AUT,High income,19,19
2014,USA,High income,16,16
2014,GBR,High income,13,13
2014,RUS,Upper middle income,12,12
2014,POL,High income,10,10
2014,CHE,High income,6,6
2014,FRA,High income,6,6
2014,HUN,High income,5,5
2014,NOR,High income,5,5
2014,ITA,High income,4,4
2014,SWE,High income,4,4
2014,UKR,Lower middle income,4,4
2014,CUB,Upper middle income,3,3
2014,FIN,High income,3,3
2014,HRV,High income,3,3
2014,CHN,Upper middle income,2,2
2014,DNK,High income,2,2
2014,GRC,High income,2,2
2014,LIE,High income,2,2
2014,ROU,High income,2,2
2014,TUR,Upper middle income,2,2
2014,ALB,Upper middle income,1,1
2014,BEL,High income,1,1
2014,CYM,High income,1,1
2014,CYP,High income,1,1
2014,DMA,Upper middle income,1,1
2014,EGY,Lower middle income,1,1
2014,EST,High income,1,1
2014,IRQ,Upper middle income,1,1
2014,ISR,High income,1,1
2014,JPN,High income,1,1
2014,LAO,Lower middle income,1,1
2014,LVA,High income,1,1
2014,MEX,Upper middle income,1,1
2014,NLD,High income,1,1
2014,PRK,Low income,1,1
2014,PSE,Upper middle income,1,1
2014,SRB,Upper middle income,1,1
2014,SVN,High income,1,1
2014,VNM,Lower middle income,1,1
2014,XKX,Upper middle income,1,1
2015,CZE,High income,241,241
2015,SVK,High income,24,24
2015,DEU,High income,23,23
2015,GBR,High income,16,16
2015,RUS,Upper middle income,16,16
2015,USA,High income,10,10
2015,FRA,High income,7,7
2015,CHE,High income,5,5
2015,UKR,Lower middle income,5,5
2015,AUT,High income,4,4
2015,BEL,High income,4,4
2015,GRC,High income,4,4
2015,ITA,High income,4,4
2015,NOR,High income,4,4
2015,POL,High income,4,4
2015,SWE,High income,4,4
2015,CHN,Upper middle income,3,3
2015,DNK,High income,3,3
2015,FIN,High income,3,3
2015,NLD,High income,3,3
2015,SYR,Low income,3,3
2015,TUR,Upper middle income,3,3
2015,ALB,Upper middle income,2,2
2015,HUN,High income,2,2
2015,IRL,High income,2,2
2015,AUS,High income,1,1
2015,BGR,Upper middle income,1,1
2015,BRA,Upper middle income,1,1
2015,CUB,Upper middle income,1,1
2015,EST,High income,1,1
2015,HRV,High income,1,1
2015,IND,Lower middle income,1,1
2015,JPN,High income,1,1
2015,KOR,High income,1,1
2015,KWT,High income,1,1
2015,SRB,Upper middle income,1,1
2015,SVN,High income,1,1
2015,VAT,Unknown,1,1
2015,VGB,High income,1,1
2015,ZAF,Upper middle income,1,1
2016,CZE,High income,238,238
2016,DEU,High income,19,19
2016,SVK,High income,11,11
2016,CHE,High income,7,7
2016,AUT,High income,6,6
2016,GBR,High income,6,6
