topic,terms
0,"jako, třeba, myslím, toho, tomu, velmi, možná, opravdu, jestli, znamená, něco, pane, úplně, máme, nějaké, skutečně, způsobem, určitě, ředitel, dneska"
1,"mluvčí, ukrajině, beey, ukrajiny, ruské, ukrajinu, mluvčí mluvčí, rusko, další, ukrajinské, české, toho, jako, velmi, třeba, ruská, děti, mají, mluvčí myslím, máme"
2,"dohody, pařížské, státy, spojené státy, spojené, pařížské dohody, klimatické dohody, klimatické, pařížské klimatické, dohoda, dohodu, států, čína, spojených, spojených států, zemí, klimatu, pařížskou, rozhodnutí, americké"
3,"strany, předseda, místopředseda, předseda strany, koalice, místopředseda strany, výboru, čssd, klubu, jurečka, sněmovny, poslaneckého, poslaneckého klubu, hnutí, stan, marian jurečka, marian, ministr, ksčm, vlády"
4,"životního prostředí, životního, prostředí, ministr životního, brabec, brabec ministr, ministr, místopředseda hnutí, prostředí místopředseda, opatření, hnutí, místopředseda, česká republika, republika, uhlí, dneska, ministerstvo životního, ministerstvo, roku, ministře"
5,"trump, donald trump, donald, prezident, trumpa, americký, americký prezident, donalda trumpa, donalda, prezidenta, trump americký, prezident donald, bílého domu, bílého, domu, kandidát, americké, amerického, prezidentem, prezident trump"
6,"guterres, generální tajemník, tajemník, generální, antónio, antónio guterres, guterres generální, změnám, klimatickým změnám, klimatickým, proti, yorku, proti klimatickým, klimatu, vyzval, summitu, uhlíkové, boji proti, planetě, boji"
7,"evropské, komise, unie, evropské komise, evropská, evropské unie, leyenová, parlamentu, ursula, ursula leyenová, evropského, evropského parlamentu, bruselu, unii, evropská komise, jourová, evropské rady, předsedkyně, evropské záležitosti, evropská unie"
8,"globální změny, výzkumu globální, výzkumu, ústav výzkumu, globální, ústav, změny, akademie, vědecký pracovník, změny akademie, pracovník, vědecký, klimatu, oxidu, uhličitého, změny klimatu, vědci, oxidu uhličitého, akademie české, ústavu výzkumu"
9,"meteorolog, počasí, teploty, klimatolog, čhmú, stupňů, sněhu, třeba, teplota, opravdu, bouřky, celsia, předpověď, znamená, možná, srážek, tolasz, stupně, michale, toho"
10,"vody, vodu, voda, sucho, zemědělství, vodou, vodní, sucha, krajině, půdy, suchu, opatření, povodí, zemědělci, nádrže, obce, vodních, zemědělské, starosta, nedostatek"
11,"konference, změnách, paříži, klimatických změnách, klimatických, změnách klimatu, klimatická konference, francouzský, konferenci, klimatu, klimatická, zemí, stupně, papež, dohody, globální, oteplování, glasgow, ministr zahraničí, bezpečnostních"
12,"lesy, lesů, lesa, kůrovec, stromů, stromy, ředitel, české, lesníci, zemědělství, lesní, dřeva, republiky, české republiky, lesy české, lesích, kůrovcem, dříví, generální ředitel, lesního"
13,"vědci, antarktidě, ledu, expedice, antarktidy, vědců, polární, ledovce, druhů, stanice, ledovců, vedoucí, moře, změny, tání, univerzita, jamese, česká televize, masarykovy univerzity, česká"
14,"požáry, oheň, požárů, plameny, hasiči, hasičů, kalifornii, austrálii, úřady, řecku, požár, hoří, austrálie, lesní, rozsáhlé, lidí, požáru, veder, pobřeží, vítr"
15,"obama, barack, barack obama, prezident, americký prezident, americký, obama americký, obamy, spojené státy, spojené, baracka, baracka obamy, proti, státy, boji, plán, američanů, boji proti, ekonomiky, největší"
16,"biden, prezident, americký, spojených, americký prezident, bidena, spojených států, bílého domu, bílého, prezident biden, domu, států, prezidenta, státy, zahraniční, spojené státy, číny, joea bidena, joea, změnám klimatu"
17,"babiš, andrej babiš, andrej, premiér, babiš premiér, premiér andrej, předseda hnutí, premiér předseda, předseda, česko, hnutí, babiše, premiéra, andreje, andreje babiše, summit, yorku, shromáždění, roku, český premiér"
18,"univerzity, karlovy, univerzity karlovy, studenti, studentů, fakulty, univerzita, fakulta, ochranu, ochranu klimatu, usnesení, klimatické, senátu, krize, karlova, škola, klima, přijal, náměstí, klimatu"
19,"johnson, británie, boris johnson, boris, britský, britský premiér, konzervativní, brexitu, corbyn, premiér, lídr, británii, brexit, dohodu, unie, glasgow, britská, mayová, odchod, evropské unie"
20,"lidí, před, první, proti, města, lidé, vláda, další, mají, televize, utkání, město, chce, jako, policie, česká televize, země, česká, soud, totiž"
21,"plynů, skleníkových plynů, skleníkových, emisí, emise, emisí skleníkových, oxidu, uhličitého, oxidu uhličitého, snižování, snižování emisí, uhlí, roku, oteplování, emise skleníkových, snížení, atmosféře, snížení emisí, snížit, ovzduší"
22,"summit, summitu, lídři, setkání, rusko, ekonomik, jednat, zahraničí, ministr zahraničí, světových, obchodu, putin, evropské rady, jednání, rady, ukrajině, merkelová, evropské, lídrů, rusku"
23,"bedřich, moldan, bedřich moldan, otázky životního, centrum otázky, centrum, životního prostředí, životního, otázky, prostředí, moldan zástupce, zástupce ředitele, ředitele, zástupce, centra otázky, velmi, bývalý ministr, bývalý, centra, rozhodně"
24,"greta, thunbergová, greta thunbergová, aktivistka, yorku, klimatu, globálnímu oteplování, globálnímu, vystoupí, hnutí, budoucnost, životní, světoví, konferenci, životní prostředí, lídři, generace, ochranu klimatu, závazky, ekologická"
