article_id,year,n_kw_matches,matched_kws
2020E019T003,2020,6,jaderná energie; jaderná elektrárna; obnovitelné zdroje; fotovoltaika; uhelná elektrárna
2022E033T071,2022,6,jaderná energie; jaderná elektrárna; jaderný reaktor; obnovitelné zdroje; větrné elektrárny
2022E003T069,2022,5,jaderná energie; obnovitelné zdroje; odchod od uhlí; dekarbonizace; energetická transformace
2021E222T050,2021,5,jaderná energie; obnovitelné zdroje; fotovoltaika; konec uhlí; dekarbonizace
2021E279A084,2021,5,jaderná energie; obnovitelné zdroje; větrné elektrárny; fotovoltaika; konec uhlí
2019E189T044,2019,5,jaderná energie; jaderná elektrárna; obnovitelné zdroje; větrné elektrárny; fotovoltaika
2022E006A091,2022,4,jaderná energie; obnovitelné zdroje; větrné elektrárny; fotovoltaika
2021E314T073,2021,4,jaderná energie; jaderný reaktor; obnovitelné zdroje; energetická transformace
2015E109T008,2015,3,obnovitelné zdroje; větrné elektrárny; fotovoltaika
2019E165T049,2019,3,jaderná elektrárna; obnovitelné zdroje; větrné elektrárny
2019E189T041,2019,3,jaderná energie; obnovitelné zdroje; dekarbonizace
2021E257T061,2021,3,obnovitelné zdroje; konec uhlí; dekarbonizace
2020E339T075,2020,3,obnovitelné zdroje; konec uhlí; dekarbonizace
2021E255T009,2021,3,obnovitelné zdroje; fotovoltaika; dekarbonizace
2021E307T076,2021,2,obnovitelné zdroje; uhelná elektrárna
2018E295T054,2018,2,jaderná elektrárna; obnovitelné zdroje
2017E332T060,2017,2,jaderná energie; obnovitelné zdroje
2022E003T056,2022,2,větrné elektrárny; fotovoltaika
2022E006T054,2022,2,obnovitelné zdroje; dekarbonizace
2021E153T068,2021,2,obnovitelné zdroje; konec uhlí
2019E174A009,2019,2,obnovitelné zdroje; uhelná elektrárna
2018E348T057,2018,2,jaderná elektrárna; obnovitelné zdroje
2021E307A065,2021,2,obnovitelné zdroje; uhelná elektrárna
2020E149T050,2020,2,jaderná elektrárna; obnovitelné zdroje
2021E222A056,2021,2,obnovitelné zdroje; konec uhlí
2021E285T060,2021,2,obnovitelné zdroje; dekarbonizace
2021E290T008,2021,2,obnovitelné zdroje; dekarbonizace
2021E146T087,2021,2,obnovitelné zdroje; uhelná elektrárna
2020E264T006,2020,2,jaderná elektrárna; konec uhlí
2019E311T073,2019,2,obnovitelná energie; obnovitelné zdroje
2020E145T008,2020,2,jaderná elektrárna; obnovitelné zdroje
2020E013T076,2020,2,jaderná energie; obnovitelné zdroje
2022E062T094,2022,2,jaderná elektrárna; obnovitelné zdroje
2012E027T121,2012,2,obnovitelná energie; větrné elektrárny
2022E120T038,2022,2,jaderná elektrárna; obnovitelné zdroje
2014E026T013,2014,2,jaderná elektrárna; obnovitelné zdroje
2014E271T009,2014,2,jaderná elektrárna; obnovitelné zdroje
2014E363T061,2014,2,jaderná elektrárna; větrné elektrárny
2015E216T061,2015,2,obnovitelné zdroje; větrné elektrárny
2013E286T004,2013,1,obnovitelné zdroje
2014E057T069,2014,1,obnovitelné zdroje
2022E084T089,2022,1,dekarbonizace
2022E084T056,2022,1,dekarbonizace
2022E110T104,2022,1,větrné elektrárny
2022E101T002,2022,1,dekarbonizace
2022E097T061,2022,1,dekarbonizace
2019E346A050,2019,1,jaderná energie
2019E347T062,2019,1,jaderná energie
2019E346T018,2019,1,jaderná energie
2019E346T059,2019,1,jaderná energie
2020E026T008,2020,1,větrné elektrárny
2019E266T018,2019,1,jaderná energie
2019E266T041,2019,1,jaderná energie
2019E263T049,2019,1,obnovitelné zdroje
2019E263T079,2019,1,obnovitelné zdroje
2019E260T039,2019,1,dekarbonizace
2019E290A088,2019,1,větrné elektrárny
2019E274T070,2019,1,obnovitelné zdroje
2019E332A057,2019,1,jaderná elektrárna
2020E005T009,2020,1,obnovitelné zdroje
2020E050T057,2020,1,obnovitelné zdroje
2020E131T006,2020,1,dekarbonizace
2019E178T039,2019,1,jaderná elektrárna
2019E211A028,2019,1,obnovitelné zdroje
2019E189T040,2019,1,jaderná elektrárna
2019E266T007,2019,1,jaderná energie
2019E266T029,2019,1,jaderná energie
2021E270T063,2021,1,jaderná energie
2021E269T005,2021,1,dekarbonizace
2021E267T063,2021,1,obnovitelné zdroje
2018E332T048,2018,1,jaderná energie
2018E348T059,2018,1,jaderná elektrárna
2019E026A037,2019,1,konec uhlí
2019E032T073,2019,1,jaderná elektrárna
2019E076T003,2019,1,obnovitelné zdroje
2019E098T077,2019,1,jaderná elektrárna
2021E294T064,2021,1,obnovitelné zdroje
2021E276T009,2021,1,jaderná energie
2021E308T063,2021,1,uhelná elektrárna
2017E088T060,2017,1,obnovitelné zdroje
2017E153T073,2017,1,obnovitelné zdroje
2017E152T070,2017,1,obnovitelné zdroje
2017E192A051,2017,1,uhelná elektrárna
2017E192T072,2017,1,uhelná elektrárna
2018E127T053,2018,1,jaderná elektrárna
2021E354T059,2021,1,obnovitelné zdroje
2021E349T064,2021,1,dekarbonizace
2022E023T007,2022,1,jaderná energie
