type_final,S6,S0,S4,S5,S3,S2,S1
M2,176,307,3,0,8,4,2
M3,307,338,6,0,4,15,0
M4,0,4,0,0,0,0,1
M5,450,626,47,5,22,22,2
M6,795,1524,39,2,114,36,43
